Category,precision,recall,f1-score,support
Community,0.3297,0.4211,0.3698,437.0000
Entertainment,0.2178,0.1477,0.1760,149.0000
Food,0.4264,0.3286,0.3711,837.0000
Nightlife,0.0771,0.4659,0.1323,88.0000
Outdoors,0.1629,0.2769,0.2051,130.0000
Shopping,0.4643,0.1420,0.2174,641.0000
Travel,0.1978,0.2353,0.2149,153.0000
macro avg,0.2680,0.2882,0.2410,2435.0000
weighted avg,0.3652,0.2813,0.2912,2435.0000
