Category,precision,recall,f1-score,support
Community,0.5278,0.7392,0.6159,3144.0000
Entertainment,0.7132,0.7132,0.7132,2772.0000
Food,0.7602,0.6402,0.6950,7859.0000
Nightlife,0.4389,0.6908,0.5368,1410.0000
Outdoors,0.6768,0.7238,0.6995,2216.0000
Shopping,0.7890,0.7011,0.7425,6702.0000
Travel,0.8582,0.8321,0.8450,7732.0000
macro avg,0.6806,0.7201,0.6925,31835.0000
weighted avg,0.7430,0.7238,0.7285,31835.0000
