Category,precision,recall,f1-score,support
Community,0.4014,0.6765,0.5038,439.0000
Entertainment,0.4000,0.4671,0.4309,167.0000
Food,0.5648,0.4062,0.4726,869.0000
Nightlife,0.5506,0.5385,0.5444,91.0000
Outdoors,0.4038,0.4406,0.4214,143.0000
Shopping,0.5292,0.4140,0.4646,657.0000
Travel,0.3722,0.4716,0.4160,176.0000
macro avg,0.4603,0.4878,0.4648,2542.0000
weighted avg,0.4936,0.4701,0.4689,2542.0000
