Category,precision,recall,f1-score,support
Community,56.07 ± 4.12,74.03 ± 2.18,63.71 ± 2.38,314460.00 ± 54.77
Entertainment,70.00 ± 2.49,71.01 ± 0.84,70.47 ± 0.99,277160.00 ± 54.77
Food,76.09 ± 2.15,66.10 ± 2.77,70.68 ± 1.12,785920.00 ± 44.72
Nightlife,46.96 ± 4.57,69.62 ± 1.78,55.95 ± 3.04,140960.00 ± 54.77
Outdoors,68.50 ± 1.99,74.05 ± 2.00,71.13 ± 0.78,221620.00 ± 44.72
Shopping,79.35 ± 2.31,70.93 ± 1.85,74.87 ± 0.85,670180.00 ± 44.72
Travel,85.00 ± 0.99,82.52 ± 0.56,83.74 ± 0.72,773200.00 ± 0.00
macro avg,68.85 ± 0.67,72.61 ± 0.71,70.08 ± 0.75,3183500.00 ± 70.71
