epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.023599,0.975602,1.640026,4.523951,0.193367,32.378742,6.478124,6.478124,32.127460,3.155134,3.155134
2,-0.000333,0.073294,0.187991,5.608420,0.284718,32.156898,6.750377,1.441616,32.228710,4.612146,2.788288
3,0.068836,0.009689,0.146615,6.089398,0.372112,31.881678,6.744603,0.465835,32.352737,5.727558,2.499101
4,0.037098,0.001545,0.182559,6.285502,0.453898,31.621187,6.745583,0.313390,32.407047,6.402642,1.951612
5,0.013490,0.007613,0.176631,6.268296,0.528408,31.405287,6.843696,0.743518,32.428951,6.932412,1.736813
6,0.063223,0.007907,0.193813,6.201340,0.594227,31.658363,8.241726,4.615431,32.443539,7.285870,1.382970
7,-0.049768,0.005246,0.187311,6.160273,0.650875,31.545698,8.476052,1.071107,32.447067,7.562083,1.224415
8,0.033157,0.006007,0.175311,6.090344,0.697812,31.397160,8.467245,0.167626,32.440319,7.737364,1.029670
9,0.011376,0.008775,0.138191,6.053242,0.734989,31.279276,8.461007,0.146845,32.434078,7.879611,0.817425
10,-0.048863,0.016992,0.145211,6.061492,0.762844,31.191555,8.459042,0.130818,32.425781,7.968988,0.631978
11,-0.035163,0.019954,0.123617,6.065629,0.782217,31.131153,8.461824,0.189499,32.418087,8.016398,0.443000
12,0.014639,0.010751,0.140633,6.051603,0.794326,31.093689,8.466909,0.129709,32.412094,8.041410,0.295379
13,0.013420,0.012710,0.118809,6.073233,0.800690,31.074875,8.471661,0.088285,32.408112,8.052581,0.165853
14,0.008061,0.013082,0.122209,6.079084,0.803076,31.067657,8.473536,0.030558,32.406521,8.057312,0.071983
15,-0.018205,0.027680,0.122034,6.095999,0.803422,31.066645,8.473854,0.005790,32.406212,8.057613,0.013120
