Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,43860.00 ± 54.77
Entertainment,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,16740.00 ± 54.77
Food,34.16 ± 0.13,89.51 ± 1.93,49.45 ± 0.40,86900.00 ± 0.00
Nightlife,1.05 ± 2.35,0.88 ± 1.97,0.96 ± 2.14,9060.00 ± 54.77
Outdoors,2.63 ± 5.88,0.70 ± 1.57,1.11 ± 2.48,14240.00 ± 54.77
Shopping,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,65760.00 ± 54.77
Travel,19.15 ± 1.05,26.22 ± 5.08,21.94 ± 1.90,17620.00 ± 44.72
macro avg,8.14 ± 0.81,16.76 ± 0.32,10.49 ± 0.22,254180.00 ± 44.72
