Category,Precision,Recall,F1-Score
Shopping,0.4077 ± 0.0281,0.4043 ± 0.0360,0.4036 ± 0.0117
Community,0.5852 ± 0.0581,0.0623 ± 0.0045,0.1125 ± 0.0080
Food,0.4633 ± 0.0072,0.7908 ± 0.0305,0.5839 ± 0.0044
Entertainment,0.7442 ± 0.0541,0.3887 ± 0.0355,0.5076 ± 0.0180
Travel,0.7081 ± 0.0266,0.3238 ± 0.0171,0.4436 ± 0.0127
Outdoors,0.7817 ± 0.0680,0.1812 ± 0.0187,0.2928 ± 0.0227
Nightlife,0.6723 ± 0.0315,0.4711 ± 0.0301,0.5530 ± 0.0202
