epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,8.019333127945188,0.10763310641050339,0.008146842931938124,0.006935542915016413,0.151325523853302,0.155551478266716,0.16438667476177216,0.1405966579914093,0.19620700180530548,0.15367215871810913
2,7.609712630983383,0.2894298732280731,0.053584530847139995,0.04945169389247894,0.3269481360912323,0.37705230712890625,0.41802260279655457,0.3644934892654419,0.4722946584224701,0.3868332803249359
3,7.173231821211558,0.4263467788696289,0.11257544835246464,0.09935853630304337,0.4273395836353302,0.5107825398445129,0.5469687581062317,0.4967564642429352,0.601138710975647,0.5190433859825134
4,6.748571971106151,0.47729700803756714,0.16087473165068186,0.14416998624801636,0.46734121441841125,0.5646220445632935,0.6001806259155273,0.5486762523651123,0.6614653468132019,0.5738990306854248
5,6.379699222625248,0.49698445200920105,0.1916970188083498,0.17264822125434875,0.48521268367767334,0.5824857950210571,0.6178891062736511,0.5673156380653381,0.6778545379638672,0.5919457674026489
6,6.0743921673487105,0.5029212832450867,0.20541578648256278,0.1823386549949646,0.49022215604782104,0.5873462557792664,0.6226637363433838,0.5725712776184082,0.6819538474082947,0.5969322919845581
7,5.81439451187376,0.5052065253257751,0.20711938769058277,0.18606865406036377,0.49343836307525635,0.5880107879638672,0.6236767768859863,0.573867917060852,0.68215012550354,0.5979194641113281
8,5.618522038535466,0.5066671967506409,0.21480420083681176,0.19248323142528534,0.4954391121864319,0.5880951881408691,0.6230956315994263,0.5741803646087646,0.6804224848747253,0.5977457165718079
9,5.461642310732887,0.5062745213508606,0.21997697151642934,0.19562993943691254,0.49552077054977417,0.5856696367263794,0.6184231042861938,0.5711892247200012,0.6756321787834167,0.5947261452674866
10,5.331392318483383,0.5072168707847595,0.22535381730195064,0.19936445355415344,0.49675142765045166,0.5866473317146301,0.6195617914199829,0.5721556544303894,0.6779487729072571,0.5961833596229553
11,5.245679582868304,0.5069184899330139,0.22654063619625797,0.1990775167942047,0.49655523896217346,0.5848183035850525,0.6168132424354553,0.5705127716064453,0.672051191329956,0.593230128288269
12,5.1891290573846724,0.507209062576294,0.2309814453125,0.2031489759683609,0.4972230792045593,0.5846935510635376,0.6160593628883362,0.5702329874038696,0.670951783657074,0.5928223729133606
13,5.152907598586309,0.5075860023498535,0.2304143237460191,0.20430809259414673,0.497479647397995,0.5854130387306213,0.6172451972961426,0.571033775806427,0.6732056140899658,0.5940374135971069
14,5.138809930710566,0.505858302116394,0.2340939272740844,0.20469218492507935,0.49676525592803955,0.5828795433044434,0.6138448119163513,0.5683975219726562,0.6691141724586487,0.5911240577697754
15,5.135658385261657,0.5055441856384277,0.23649813706707803,0.20621255040168762,0.4965735971927643,0.5823126435279846,0.6127611398696899,0.567647397518158,0.66827392578125,0.5904906392097473
