epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,7.946785094246032,0.0701042115688324,0.009244367329165571,0.007725116331130266,0.10890360921621323,0.1233147382736206,0.1326616406440735,0.10618564486503601,0.1700500249862671,0.12154389172792435
2,7.452767508370536,0.31786805391311646,0.06276201918083495,0.05655057355761528,0.34557071328163147,0.400739461183548,0.4336613416671753,0.3854205310344696,0.48734480142593384,0.40753477811813354
3,6.950880746992808,0.43714025616645813,0.1331948337227076,0.11702670902013779,0.43602949380874634,0.5285347700119019,0.5641162395477295,0.5111196041107178,0.6265087723731995,0.5367919206619263
4,6.454604860336062,0.4872191548347473,0.18605725811716572,0.16983066499233246,0.4766204059123993,0.5812409520149231,0.6178939938545227,0.5631612539291382,0.6847549080848694,0.5906573534011841
5,5.985530308314732,0.49907729029655457,0.2141049001186709,0.1967238187789917,0.4889756143093109,0.5934128165245056,0.6325556039810181,0.5765416026115417,0.699824869632721,0.6042287945747375
6,5.551772344680059,0.5061607360839844,0.22480580003955697,0.20861686766147614,0.49508601427078247,0.5986922383308411,0.6382647752761841,0.5828206539154053,0.7028797268867493,0.6093950867652893
7,5.155503530350942,0.5100715756416321,0.23249150360949766,0.21446028351783752,0.4989091753959656,0.6004636287689209,0.638398289680481,0.5843986868858337,0.7029190063476562,0.6109338402748108
8,4.796371702163938,0.5050848722457886,0.2391715379387978,0.216715469956398,0.49687284231185913,0.5933008193969727,0.6296578645706177,0.5770785808563232,0.691979706287384,0.6027464270591736
9,4.46100580124628,0.4732014536857605,0.24537613483041593,0.22008007764816284,0.47958773374557495,0.5671290159225464,0.6056667566299438,0.5502097010612488,0.673367977142334,0.5780609250068665
10,4.170745849609375,0.49915581941604614,0.2543940057510604,0.22516682744026184,0.49431169033050537,0.5838475823402405,0.6157736778259277,0.5666730999946594,0.6773965954780579,0.5919927358627319
11,3.908291529095362,0.49012479186058044,0.25880475018893234,0.22538121044635773,0.49007877707481384,0.573219895362854,0.6029574871063232,0.5552621483802795,0.6640699505805969,0.5803893804550171
12,3.691378154451885,0.4613904654979706,0.2637932034316441,0.2269672304391861,0.47345879673957825,0.548160195350647,0.5783067345619202,0.5290045142173767,0.6417829990386963,0.5551298260688782
13,3.4991542271205356,0.4258711040019989,0.26749899104203595,0.22432269155979156,0.45073601603507996,0.5173707008361816,0.5512608289718628,0.4988529086112976,0.6151139736175537,0.5251323580741882
