Category,precision,recall,f1-score,support
Community,0.8066,0.8150,0.8108,12783.0000
Entertainment,0.8002,0.7320,0.7646,5854.0000
Food,0.7856,0.7825,0.7841,17374.0000
Nightlife,0.5663,0.7445,0.6433,1847.0000
Outdoors,0.7614,0.7651,0.7633,5109.0000
Shopping,0.8294,0.8305,0.8299,25404.0000
Travel,0.7762,0.7408,0.7581,4463.0000
macro avg,0.7608,0.7729,0.7649,72834.0000
