epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,8.046225895957342,0.07014237344264984,0.008714788377123235,0.0073343608528375626,0.1090940535068512,0.11769356578588486,0.12305541336536407,0.10068386793136597,0.1562340408563614,0.11429894715547562
2,7.601304311600942,0.30723804235458374,0.057183522995869825,0.0536142997443676,0.3415926992893219,0.3900555372238159,0.42443516850471497,0.37538638710975647,0.4781649112701416,0.39748820662498474
3,7.154284280443949,0.4378715455532074,0.12693298728602706,0.10835281014442444,0.4382759928703308,0.5212679505348206,0.554746687412262,0.5060879588127136,0.6101962327957153,0.5289013385772705
4,6.74003431532118,0.48652827739715576,0.17270905901671973,0.15347687900066376,0.4750290513038635,0.573281466960907,0.6081151962280273,0.5572385787963867,0.6705067157745361,0.5829141736030579
5,6.3823731437562,0.4998939633369446,0.1964679849223726,0.17683658003807068,0.488155335187912,0.58502596616745,0.6206563115119934,0.569997251033783,0.6801265478134155,0.5944675803184509
6,6.083715529668899,0.5034356713294983,0.2068980046741708,0.18617677688598633,0.49181991815567017,0.5875072479248047,0.6236875653266907,0.5733756422996521,0.6814694404602051,0.5971609950065613
7,5.837394108847966,0.5043622851371765,0.21351198060900498,0.1916206032037735,0.49296802282333374,0.5875535607337952,0.6233420372009277,0.573423445224762,0.6808176040649414,0.5970625877380371
8,5.638215080140129,0.5044408440589905,0.21927599086882962,0.19757020473480225,0.4943057894706726,0.585291862487793,0.6194155812263489,0.5710050463676453,0.6764278411865234,0.5944661498069763
9,5.479577927362351,0.500922679901123,0.2198857359673567,0.1967996507883072,0.49300113320350647,0.5807403326034546,0.6142247915267944,0.566498339176178,0.6700198650360107,0.5894838571548462
10,5.356635199652778,0.5011897087097168,0.2236711614729188,0.19888319075107574,0.4934465289115906,0.5811494588851929,0.6154341101646423,0.5672318935394287,0.6715040802955627,0.5902979969978333
11,5.2823592897445435,0.501001238822937,0.2280996034051834,0.20146794617176056,0.4935559630393982,0.5805483460426331,0.6136986613273621,0.5663617849349976,0.6699727177619934,0.5894916653633118
12,5.223058791387649,0.4991243779659271,0.22981212483889701,0.203098326921463,0.492705762386322,0.5783835053443909,0.6115390658378601,0.5642399191856384,0.66778963804245,0.5873510241508484
13,5.188865056113591,0.49545708298683167,0.22869952293131843,0.2013150006532669,0.49099016189575195,0.5742677450180054,0.6060577630996704,0.5594444870948792,0.6623396873474121,0.5826168656349182
14,5.170962863498264,0.4946482181549072,0.23143486798128343,0.2039378434419632,0.4908873438835144,0.5734208226203918,0.6049190759658813,0.5584851503372192,0.6612088680267334,0.5816499590873718
15,5.161063058035714,0.495433509349823,0.2358363302641843,0.20768333971500397,0.4916284680366516,0.5741292238235474,0.6054452061653137,0.5591129064559937,0.6613345146179199,0.5821422934532166
