Category,precision,recall,f1-score,support
Community,0.3107,0.3853,0.3438,13721.0000
Entertainment,0.2911,0.2354,0.2599,8751.4000
Food,0.4282,0.1961,0.2648,28217.2000
Nightlife,0.1851,0.4292,0.2584,5837.4000
Outdoors,0.1916,0.3155,0.2366,5457.0000
Shopping,0.4065,0.4129,0.4092,21696.6000
Travel,0.2698,0.3494,0.3029,5851.6000
macro avg,0.2975,0.3320,0.2965,89532.2000
