epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.005498,1.004758,1.272556,4.551845,0.000000,32.429703,6.621565,6.621565,32.140617,3.003246,3.003246
2,0.008171,0.045247,0.828413,5.788409,0.000000,32.230354,6.888542,1.649689,32.251671,4.250761,2.530047
3,0.221090,0.018385,0.262072,6.453130,0.000000,32.573643,8.817160,5.359101,32.336891,5.342445,2.405940
4,-0.008769,0.002261,0.603490,6.831248,0.000000,32.491180,9.447089,1.870111,32.475845,6.287651,2.268178
5,-0.015877,0.005604,0.317386,7.304673,0.000000,32.192322,9.394574,0.299773,32.595444,7.095500,2.185771
6,-0.003806,0.013199,0.169410,7.571664,0.000000,31.900257,9.351244,0.293739,32.674473,7.705001,1.879472
7,-0.006919,0.005455,0.186934,7.806073,0.000000,31.608908,9.317262,0.301991,32.748627,8.222692,1.775545
8,0.000772,0.004424,0.140726,7.991281,0.000000,31.325651,9.294879,0.328814,32.794624,8.661810,1.656654
9,0.002421,0.008360,0.211407,8.215911,0.000000,31.048031,9.279300,0.292262,32.835209,9.025212,1.577554
10,0.002733,0.008001,0.120873,8.390361,0.000000,30.777016,9.275047,0.325633,32.862503,9.343483,1.498581
11,0.000166,0.013558,0.162512,8.550943,0.000000,30.518856,9.282114,0.348210,32.881981,9.642919,1.484111
12,-0.001810,0.021642,0.153770,8.723841,0.000000,30.268875,9.290404,0.323308,32.907314,9.933335,1.457140
13,-0.003609,0.014388,0.121003,8.872767,0.000000,30.023418,9.309587,0.338700,32.921261,10.194751,1.409416
14,-0.003111,0.015796,0.159990,9.037278,0.000000,29.797152,9.347912,0.444818,32.934807,10.441931,1.359314
15,0.018289,0.010391,0.149856,9.141655,0.000000,29.568382,9.383422,0.375467,32.944366,10.662560,1.309069
16,-0.001900,0.011388,0.137318,9.267371,0.000000,29.350704,9.422773,0.435635,32.953651,10.879060,1.275293
17,0.000314,0.006325,0.186486,9.396396,0.000000,29.225309,9.701609,2.224267,32.954109,11.064167,1.191281
18,-0.000178,0.004717,0.191828,9.506345,0.000000,29.085443,9.900505,0.694952,32.969273,11.251761,1.171715
19,-0.002807,0.003770,0.155014,9.670133,0.000000,28.893444,9.928960,0.197615,32.971062,11.406850,1.090792
20,0.004644,0.006372,0.123544,9.779505,0.000000,28.713139,9.958984,0.183037,32.965832,11.541671,1.084152
21,-0.001680,0.002616,0.122432,9.876505,0.000000,28.541723,9.990532,0.173075,32.964279,11.684591,1.061502
22,-0.000941,0.002441,0.184318,9.960776,0.000000,28.377317,10.023989,0.164938,32.956673,11.804452,1.001960
23,-0.002494,0.002337,0.143112,10.087258,0.000000,28.222107,10.057597,0.156117,32.950520,11.914837,0.991797
24,-0.002174,0.002196,0.189268,10.134746,0.000000,28.076048,10.091213,0.146370,32.943230,12.019778,0.918440
25,-0.005025,0.001750,0.106376,10.308940,0.000000,27.938427,10.125102,0.138163,32.930614,12.100526,0.840555
26,0.000869,0.001683,0.155946,10.365962,0.000000,27.810837,10.157883,0.128221,32.919701,12.182157,0.821319
27,-0.003442,0.000921,0.191530,10.485261,0.000000,27.691610,10.189958,0.119514,32.905945,12.250273,0.728863
28,0.001289,0.000963,0.115103,10.559444,0.000000,27.580885,10.221020,0.111096,32.896217,12.317515,0.713525
29,0.004227,0.000878,0.131322,10.615641,0.000000,27.478676,10.250693,0.102483,32.884895,12.367317,0.644314
30,-0.005593,0.000977,0.122789,10.707956,0.000000,27.385096,10.278352,0.093724,32.873611,12.418688,0.616394
31,0.000526,0.003187,0.122732,10.805823,0.000000,27.299551,10.304237,0.085906,32.861263,12.457421,0.586503
32,-0.001323,0.002118,0.114018,10.877516,0.000000,27.222130,10.328198,0.077873,32.850235,12.493718,0.535327
