Category,precision,recall,f1-score,support
Unknown-59,24.52 ± 33.58,25.17 ± 34.50,24.84 ± 34.03,99580.00 ± 4516.30
Unknown-60,47.00 ± 21.15,50.87 ± 19.71,48.68 ± 20.64,3520.00 ± 3139.59
Unknown-61,4.00 ± 8.94,2.22 ± 4.97,2.86 ± 6.39,620.00 ± 589.07
Unknown-62,40.56 ± 10.29,48.39 ± 10.23,43.75 ± 9.87,1900.00 ± 484.77
Unknown-63,39.73 ± 41.76,34.67 ± 40.93,36.78 ± 41.12,1080.00 ± 1925.36
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 757.19
Unknown-65,46.01 ± 25.83,48.06 ± 27.25,46.98 ± 26.46,11280.00 ± 5299.25
Unknown-66,37.10 ± 7.49,38.30 ± 8.46,37.54 ± 7.45,2740.00 ± 1021.27
Unknown-67,33.68 ± 12.10,36.32 ± 14.67,34.81 ± 12.97,2560.00 ± 450.56
Unknown-68,20.32 ± 27.95,18.58 ± 25.46,19.40 ± 26.62,5940.00 ± 2578.37
Unknown-69,35.76 ± 20.14,34.52 ± 19.55,35.08 ± 19.74,7380.00 ± 1840.38
Unknown-70,74.79 ± 14.28,70.93 ± 17.11,72.76 ± 15.84,2400.00 ± 1433.53
Unknown-71,47.93 ± 12.16,41.70 ± 10.77,43.93 ± 8.99,1260.00 ± 594.14
Unknown-72,26.62 ± 7.44,23.11 ± 6.38,23.93 ± 4.23,1240.00 ± 740.27
Unknown-73,47.58 ± 16.93,50.89 ± 11.49,48.46 ± 14.61,1480.00 ± 601.66
Unknown-74,52.19 ± 8.03,54.12 ± 7.52,53.13 ± 7.75,20120.00 ± 6003.08
Unknown-75,39.36 ± 15.57,34.29 ± 10.77,36.29 ± 12.30,1300.00 ± 200.00
Unknown-76,59.08 ± 33.68,62.92 ± 35.66,60.87 ± 34.51,9340.00 ± 1771.44
Unknown-77,26.67 ± 20.54,31.87 ± 14.87,26.67 ± 14.83,880.00 ± 630.08
Unknown-78,40.86 ± 13.50,41.60 ± 7.63,40.20 ± 8.35,2360.00 ± 482.70
Unknown-79,22.36 ± 5.27,24.75 ± 6.17,23.18 ± 4.62,1500.00 ± 648.07
Unknown-80,28.00 ± 26.37,33.33 ± 31.18,30.43 ± 28.56,440.00 ± 207.36
Unknown-81,5.29 ± 5.89,4.98 ± 5.09,5.10 ± 5.45,2640.00 ± 730.07
Unknown-82,38.57 ± 41.53,16.50 ± 20.59,19.39 ± 19.75,560.00 ± 181.66
Unknown-83,49.82 ± 9.58,66.18 ± 11.99,56.62 ± 10.17,1220.00 ± 593.30
Unknown-84,42.77 ± 17.20,47.88 ± 12.04,44.70 ± 14.61,820.00 ± 303.32
Unknown-85,31.16 ± 28.75,34.12 ± 31.20,32.54 ± 29.85,10120.00 ± 4232.26
Unknown-86,60.18 ± 36.60,41.74 ± 37.92,41.28 ± 36.68,9140.00 ± 4386.68
Unknown-87,20.57 ± 16.81,19.83 ± 11.14,19.83 ± 13.93,2200.00 ± 1518.22
Unknown-89,12.25 ± 14.61,8.70 ± 8.20,9.83 ± 9.96,2780.00 ± 576.19
Unknown-90,19.52 ± 21.85,19.21 ± 23.41,19.08 ± 22.21,820.00 ± 164.32
Unknown-91,26.86 ± 41.83,12.40 ± 16.55,10.40 ± 9.80,720.00 ± 334.66
Unknown-92,59.46 ± 9.78,73.23 ± 15.57,65.02 ± 11.06,1120.00 ± 192.35
Unknown-94,52.73 ± 16.67,56.06 ± 20.94,53.81 ± 18.35,2540.00 ± 1301.15
Unknown-95,22.30 ± 22.45,24.17 ± 23.13,23.03 ± 22.57,2180.00 ± 785.49
Unknown-96,46.90 ± 26.97,47.25 ± 26.86,47.03 ± 26.82,14320.00 ± 3917.52
Unknown-97,16.17 ± 15.54,16.94 ± 11.11,15.32 ± 13.19,1220.00 ± 506.95
Unknown-98,31.67 ± 21.92,27.71 ± 21.37,29.38 ± 21.43,420.00 ± 216.79
Unknown-100,23.59 ± 8.23,22.78 ± 8.60,23.16 ± 8.39,3380.00 ± 622.09
Unknown-101,4.76 ± 7.07,4.54 ± 6.73,4.65 ± 6.90,1480.00 ± 798.12
Unknown-102,28.45 ± 16.03,28.37 ± 17.99,28.16 ± 16.45,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,12.38 ± 7.07,13.08 ± 7.95,12.68 ± 7.42,5360.00 ± 1006.48
