Category,precision,recall,f1-score,support
Community,43.91 ± 1.86,57.27 ± 7.04,49.55 ± 2.74,43860.00 ± 54.77
Entertainment,31.93 ± 5.26,49.22 ± 4.81,38.41 ± 3.30,16740.00 ± 54.77
Food,55.33 ± 2.20,32.54 ± 4.51,40.82 ± 3.52,86900.00 ± 0.00
Nightlife,30.30 ± 5.45,58.04 ± 4.78,39.53 ± 4.82,9060.00 ± 54.77
Outdoors,33.46 ± 3.06,48.74 ± 4.83,39.50 ± 2.37,14240.00 ± 54.77
Shopping,51.33 ± 2.47,44.49 ± 3.44,47.62 ± 2.59,65760.00 ± 54.77
Travel,39.96 ± 2.99,53.01 ± 3.57,45.41 ± 1.15,17620.00 ± 44.72
macro avg,40.89 ± 1.52,49.04 ± 0.65,42.97 ± 1.22,254180.00 ± 44.72
