Category,precision,recall,f1-score,support
Community,47.15 ± 4.49,58.91 ± 9.53,51.72 ± 1.70,65900.00 ± 0.00
Entertainment,39.33 ± 6.27,47.66 ± 10.31,42.03 ± 2.31,32940.00 ± 54.77
Food,60.42 ± 2.96,42.25 ± 8.60,49.14 ± 5.30,179540.00 ± 54.77
Nightlife,32.78 ± 4.25,42.78 ± 8.54,36.67 ± 3.89,25060.00 ± 54.77
Outdoors,43.67 ± 5.15,55.42 ± 8.43,48.46 ± 4.92,28220.00 ± 44.72
Shopping,58.56 ± 1.76,56.03 ± 4.55,57.16 ± 2.25,138880.00 ± 44.72
Travel,50.46 ± 1.18,64.48 ± 4.27,56.58 ± 2.19,57380.00 ± 44.72
macro avg,47.48 ± 2.04,52.50 ± 2.98,48.82 ± 1.57,527920.00 ± 44.72
