Category,precision,recall,f1-score,support
Community,43.89 ± 2.45,59.32 ± 5.08,50.26 ± 0.70,43860.00 ± 54.77
Entertainment,37.06 ± 4.86,46.35 ± 4.06,40.97 ± 3.56,16740.00 ± 54.77
Food,56.92 ± 3.50,37.81 ± 5.48,45.09 ± 3.23,86900.00 ± 0.00
Nightlife,40.38 ± 6.00,46.98 ± 8.93,43.23 ± 6.69,9060.00 ± 54.77
Outdoors,39.82 ± 5.86,48.88 ± 2.64,43.76 ± 4.10,14240.00 ± 54.77
Shopping,51.57 ± 0.88,52.16 ± 4.31,51.76 ± 1.84,65760.00 ± 54.77
Travel,43.08 ± 3.62,49.04 ± 3.53,45.82 ± 3.27,17620.00 ± 44.72
macro avg,44.67 ± 1.77,48.65 ± 2.37,45.84 ± 1.94,254180.00 ± 44.72
