Category,precision,recall,f1-score,support
Unknown-1609,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 630.08
Unknown-1610,20.00 ± 44.72,5.00 ± 11.18,8.00 ± 17.89,400.00 ± 187.08
Unknown-1611,55.77 ± 36.23,50.54 ± 33.18,52.67 ± 34.19,1160.00 ± 702.14
Unknown-1612,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 167.33
Unknown-1613,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 251.00
Unknown-1617,47.50 ± 36.49,42.07 ± 28.69,41.23 ± 25.10,480.00 ± 277.49
Unknown-1618,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 251.00
Unknown-1619,3.33 ± 7.45,20.00 ± 44.72,5.71 ± 12.78,120.00 ± 109.54
Unknown-1621,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 125.83
Unknown-1622,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 275.38
Unknown-1623,1.82 ± 4.07,1.33 ± 2.98,1.54 ± 3.44,400.00 ± 624.50
Unknown-1625,2.73 ± 6.10,3.33 ± 7.45,3.00 ± 6.71,500.00 ± 768.11
Unknown-1626,30.38 ± 18.79,49.33 ± 30.31,36.67 ± 21.34,420.00 ± 164.32
Unknown-1627,22.38 ± 14.25,43.33 ± 36.51,26.32 ± 14.98,380.00 ± 311.45
Unknown-1628,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 240.83
Unknown-1629,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 89.44
Unknown-1631,32.11 ± 15.50,32.45 ± 10.30,31.60 ± 12.31,1000.00 ± 570.09
Unknown-1632,21.46 ± 22.46,33.00 ± 21.10,23.35 ± 18.63,540.00 ± 260.77
Unknown-1633,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 238.75
Unknown-1635,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-1638,16.46 ± 6.37,28.19 ± 15.88,17.68 ± 1.75,740.00 ± 618.87
Unknown-1639,51.50 ± 46.22,43.56 ± 32.06,46.50 ± 37.74,520.00 ± 460.43
Unknown-1640,3.33 ± 7.45,6.67 ± 14.91,4.44 ± 9.94,260.00 ± 320.94
