Category,precision,recall,f1-score,support
Unknown-62,40.43 ± 10.52,48.39 ± 10.23,43.64 ± 10.02,1900.00 ± 484.77
Unknown-63,39.73 ± 41.76,34.67 ± 40.93,36.78 ± 41.12,1080.00 ± 1925.36
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 757.19
Unknown-65,55.06 ± 5.98,58.61 ± 5.59,56.72 ± 5.50,11280.00 ± 5299.25
Unknown-66,37.10 ± 7.49,38.30 ± 8.46,37.54 ± 7.45,2740.00 ± 1021.27
Unknown-67,24.45 ± 16.87,24.71 ± 16.06,24.52 ± 16.42,2560.00 ± 450.56
Unknown-68,25.53 ± 25.54,25.44 ± 23.76,25.32 ± 24.43,5940.00 ± 2578.37
Unknown-69,34.07 ± 19.68,33.39 ± 19.10,33.67 ± 19.29,7380.00 ± 1840.38
Unknown-70,74.79 ± 14.28,70.93 ± 17.11,72.76 ± 15.84,2400.00 ± 1433.53
Unknown-71,45.25 ± 8.49,43.51 ± 12.23,43.82 ± 8.94,1260.00 ± 594.14
Unknown-72,26.62 ± 7.44,23.11 ± 6.38,23.93 ± 4.23,1240.00 ± 740.27
Unknown-73,46.33 ± 16.35,50.89 ± 11.49,47.71 ± 13.95,1480.00 ± 601.66
Unknown-74,52.19 ± 8.03,54.12 ± 7.52,53.13 ± 7.75,20120.00 ± 6003.08
Unknown-75,39.36 ± 15.57,34.29 ± 10.77,36.29 ± 12.30,1300.00 ± 200.00
Unknown-76,71.83 ± 8.00,76.10 ± 8.20,73.83 ± 7.64,9340.00 ± 1771.44
Unknown-77,26.11 ± 20.63,32.98 ± 13.61,27.11 ± 14.61,880.00 ± 630.08
Unknown-78,40.86 ± 13.50,41.60 ± 7.63,40.20 ± 8.35,2360.00 ± 482.70
Unknown-79,21.36 ± 4.15,24.75 ± 6.17,22.67 ± 4.12,1500.00 ± 648.07
Unknown-80,28.00 ± 26.37,33.33 ± 31.18,30.43 ± 28.56,440.00 ± 207.36
Unknown-81,11.80 ± 12.17,9.02 ± 6.88,9.62 ± 7.71,2640.00 ± 730.07
Unknown-82,38.57 ± 41.53,16.50 ± 20.59,19.39 ± 19.75,560.00 ± 181.66
Unknown-83,49.35 ± 9.22,66.18 ± 11.99,56.34 ± 10.00,1220.00 ± 593.30
Unknown-84,42.06 ± 17.99,47.88 ± 12.04,44.19 ± 15.14,820.00 ± 303.32
Unknown-85,39.74 ± 22.88,41.62 ± 24.12,40.56 ± 23.30,10120.00 ± 4232.26
Unknown-86,69.67 ± 5.03,73.20 ± 9.68,71.30 ± 7.09,9140.00 ± 4386.68
Unknown-87,20.57 ± 16.81,19.83 ± 11.14,19.83 ± 13.93,2200.00 ± 1518.22
Unknown-89,14.00 ± 18.19,10.77 ± 11.53,11.98 ± 13.96,2780.00 ± 576.19
Unknown-90,15.24 ± 21.14,21.59 ± 37.12,16.76 ± 25.36,820.00 ± 164.32
Unknown-91,22.75 ± 15.10,40.51 ± 33.53,26.49 ± 17.85,720.00 ± 334.66
Unknown-92,60.12 ± 8.39,73.23 ± 15.57,65.50 ± 10.41,1120.00 ± 192.35
Unknown-94,39.79 ± 26.98,44.48 ± 32.49,41.58 ± 29.33,2540.00 ± 1301.15
Unknown-95,28.97 ± 18.83,28.61 ± 19.11,28.37 ± 18.56,2180.00 ± 785.49
Unknown-96,59.33 ± 6.50,59.35 ± 4.92,59.29 ± 5.43,14320.00 ± 3917.52
Unknown-97,19.03 ± 12.91,18.37 ± 8.56,17.22 ± 10.91,1220.00 ± 506.95
Unknown-98,31.67 ± 21.92,27.71 ± 21.37,29.38 ± 21.43,420.00 ± 216.79
Unknown-100,23.59 ± 8.23,22.78 ± 8.60,23.16 ± 8.39,3380.00 ± 622.09
Unknown-101,5.35 ± 8.25,8.21 ± 14.44,6.37 ± 10.42,1480.00 ± 798.12
Unknown-102,36.19 ± 2.48,36.95 ± 9.11,36.30 ± 5.37,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,540.00 ± 114.02
Unknown-105,13.70 ± 8.23,15.90 ± 10.18,14.70 ± 9.09,5360.00 ± 1006.48
Unknown-106,15.74 ± 20.63,10.29 ± 13.99,8.80 ± 9.75,1460.00 ± 568.33
Unknown-107,14.38 ± 8.57,12.96 ± 8.74,13.06 ± 7.62,1380.00 ± 396.23
Unknown-108,26.95 ± 18.77,24.50 ± 17.91,25.62 ± 18.29,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,21.78 ± 7.16,23.71 ± 10.28,22.61 ± 8.51,5320.00 ± 1382.75
Unknown-111,48.86 ± 8.41,50.75 ± 9.33,49.76 ± 8.74,7440.00 ± 1818.79
Unknown-112,50.87 ± 8.59,47.70 ± 10.36,49.12 ± 9.23,3700.00 ± 1772.00
Unknown-113,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,14.35 ± 5.20,15.46 ± 7.62,14.39 ± 4.85,1840.00 ± 654.22
Unknown-116,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,160.00 ± 114.02
Unknown-117,32.69 ± 29.85,32.58 ± 30.10,32.57 ± 29.85,31160.00 ± 4368.98
Unknown-118,12.14 ± 14.45,18.33 ± 21.34,14.58 ± 17.18,325.00 ± 263.00
Unknown-119,31.37 ± 6.87,36.69 ± 8.37,33.81 ± 7.53,9600.00 ± 1776.23
Unknown-120,58.24 ± 32.59,36.24 ± 20.30,44.68 ± 25.01,70240.00 ± 1190.80
Unknown-121,5.45 ± 12.20,7.50 ± 16.77,6.32 ± 14.12,1000.00 ± 463.68
Unknown-122,23.33 ± 32.49,17.71 ± 26.68,18.91 ± 26.40,400.00 ± 264.58
Unknown-123,29.48 ± 26.99,30.85 ± 28.25,30.14 ± 27.58,9160.00 ± 2294.12
Unknown-124,19.94 ± 28.17,23.00 ± 31.63,21.27 ± 29.61,3100.00 ± 1869.49
Unknown-125,25.86 ± 6.59,27.61 ± 5.83,26.47 ± 5.39,2260.00 ± 1154.56
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-127,23.44 ± 29.68,14.71 ± 9.36,16.19 ± 13.54,840.00 ± 439.32
Unknown-128,20.00 ± 29.81,18.33 ± 29.11,19.05 ± 29.35,280.00 ± 83.67
Unknown-129,17.98 ± 7.66,22.78 ± 9.55,19.82 ± 8.23,780.00 ± 109.54
Unknown-130,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-131,29.96 ± 18.33,33.45 ± 19.76,31.33 ± 18.41,880.00 ± 465.83
Unknown-132,5.83 ± 8.12,7.22 ± 11.04,6.35 ± 9.17,500.00 ± 234.52
Unknown-133,12.50 ± 21.65,8.57 ± 12.78,9.94 ± 15.86,780.00 ± 420.71
Unknown-134,8.75 ± 12.18,20.45 ± 32.70,11.94 ± 17.22,620.00 ± 349.28
Unknown-135,28.30 ± 13.23,28.75 ± 12.78,28.50 ± 13.01,5660.00 ± 753.66
Unknown-136,17.62 ± 12.80,21.94 ± 14.78,19.52 ± 13.71,2380.00 ± 476.45
Unknown-137,35.63 ± 23.07,45.84 ± 35.92,35.79 ± 20.33,860.00 ± 965.92
Unknown-138,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 300.00
Unknown-139,46.67 ± 17.24,43.53 ± 19.62,44.84 ± 18.25,1260.00 ± 844.39
Unknown-140,21.67 ± 30.96,30.00 ± 41.50,24.44 ± 33.70,300.00 ± 187.08
Unknown-141,31.14 ± 46.70,55.00 ± 52.60,32.17 ± 45.95,200.00 ± 216.02
Unknown-142,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 359.40
Unknown-143,33.02 ± 21.16,38.55 ± 23.08,35.38 ± 21.77,2200.00 ± 484.77
Unknown-144,2.67 ± 5.96,6.67 ± 14.91,3.81 ± 8.52,400.00 ± 200.00
Unknown-145,6.67 ± 14.91,2.00 ± 4.47,3.08 ± 6.88,520.00 ± 828.85
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-147,43.79 ± 7.99,43.58 ± 13.17,43.10 ± 9.23,1740.00 ± 694.98
Unknown-148,27.46 ± 16.39,27.09 ± 18.78,26.90 ± 17.77,2880.00 ± 1940.88
Unknown-149,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,440.00 ± 343.51
Unknown-150,50.91 ± 16.61,52.31 ± 8.75,51.22 ± 13.20,1440.00 ± 1021.27
Unknown-151,40.36 ± 4.84,40.71 ± 7.33,40.46 ± 5.89,5480.00 ± 3840.18
Unknown-152,2.50 ± 5.59,1.67 ± 3.73,2.00 ± 4.47,2080.00 ± 1984.19
Unknown-153,16.67 ± 23.57,9.17 ± 14.55,11.64 ± 17.70,580.00 ± 277.49
Unknown-154,6.86 ± 9.60,9.17 ± 14.55,7.08 ± 9.83,780.00 ± 402.49
Unknown-155,58.55 ± 5.90,61.88 ± 8.48,60.01 ± 6.52,15820.00 ± 3828.45
Unknown-156,63.11 ± 6.10,67.97 ± 6.76,65.37 ± 5.87,6220.00 ± 1054.51
Unknown-157,42.57 ± 17.54,44.90 ± 19.78,42.97 ± 18.65,1200.00 ± 234.52
Unknown-158,3.00 ± 6.71,3.53 ± 7.89,3.24 ± 7.25,1120.00 ± 846.76
Unknown-159,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-160,21.25 ± 28.39,12.50 ± 15.96,15.71 ± 20.40,450.00 ± 369.68
Unknown-161,2.35 ± 5.26,5.71 ± 12.78,3.33 ± 7.45,580.00 ± 294.96
Unknown-162,27.63 ± 15.77,26.30 ± 16.35,26.39 ± 15.03,1140.00 ± 512.84
Unknown-163,43.93 ± 16.16,45.64 ± 12.07,44.58 ± 14.23,2680.00 ± 637.97
Unknown-164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 44.72
Unknown-165,1.56 ± 3.12,2.27 ± 4.55,1.85 ± 3.70,775.00 ± 991.21
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-167,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 507.94
Unknown-169,21.39 ± 8.04,19.39 ± 6.50,19.83 ± 6.23,2180.00 ± 432.43
Unknown-170,3.33 ± 7.45,6.67 ± 14.91,4.44 ± 9.94,1100.00 ± 1294.22
Unknown-171,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 258.84
Unknown-172,26.19 ± 35.40,29.52 ± 34.40,26.08 ± 31.87,420.00 ± 370.14
Unknown-173,29.48 ± 18.16,28.70 ± 17.02,28.71 ± 16.85,2800.00 ± 1007.47
Unknown-174,11.48 ± 13.19,13.50 ± 13.87,11.36 ± 12.47,720.00 ± 228.04
Unknown-175,49.29 ± 7.57,50.91 ± 8.49,50.05 ± 7.91,6920.00 ± 2338.16
Unknown-176,19.69 ± 20.71,19.28 ± 19.97,18.93 ± 19.93,1100.00 ± 452.77
Unknown-177,11.28 ± 9.41,19.60 ± 19.92,14.15 ± 12.86,960.00 ± 461.52
Unknown-178,38.25 ± 12.26,41.70 ± 8.08,39.71 ± 10.11,2780.00 ± 712.04
Unknown-179,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 178.89
Unknown-180,15.32 ± 10.43,18.61 ± 16.94,15.06 ± 9.91,1040.00 ± 427.78
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-182,6.90 ± 8.17,9.00 ± 10.25,7.64 ± 8.99,1200.00 ± 430.12
Unknown-183,4.33 ± 6.75,6.00 ± 8.94,5.02 ± 7.68,820.00 ± 349.28
Unknown-184,44.12 ± 24.99,43.64 ± 24.82,43.88 ± 24.90,18840.00 ± 6890.79
Unknown-186,16.09 ± 16.00,28.29 ± 26.88,19.96 ± 19.78,820.00 ± 676.02
Unknown-187,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,760.00 ± 364.69
Unknown-188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-189,35.52 ± 37.10,49.00 ± 36.77,38.73 ± 35.44,440.00 ± 207.36
Unknown-190,24.20 ± 16.00,18.54 ± 10.90,20.75 ± 12.58,1320.00 ± 843.80
Unknown-191,24.74 ± 3.28,31.24 ± 6.83,27.28 ± 3.68,3560.00 ± 684.11
Unknown-193,21.87 ± 9.29,22.57 ± 12.31,21.73 ± 10.49,3100.00 ± 1469.69
Unknown-194,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 130.38
Unknown-195,51.56 ± 10.67,57.99 ± 14.27,54.22 ± 11.67,5200.00 ± 2045.73
Unknown-196,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 363.32
Unknown-197,32.28 ± 5.60,48.43 ± 3.52,38.42 ± 4.16,2740.00 ± 1633.40
Unknown-198,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 336.65
Unknown-199,27.11 ± 19.20,28.76 ± 19.10,27.44 ± 18.71,1900.00 ± 830.66
Unknown-200,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-201,9.22 ± 13.40,11.19 ± 18.12,9.97 ± 15.23,800.00 ± 380.79
Unknown-202,4.73 ± 4.76,10.15 ± 10.84,6.20 ± 6.07,580.00 ± 311.45
Unknown-203,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 387.30
Unknown-204,42.88 ± 26.64,56.31 ± 24.56,46.56 ± 21.78,680.00 ± 192.35
Unknown-205,25.00 ± 28.87,37.50 ± 47.87,29.17 ± 34.36,100.00 ± 81.65
Unknown-206,8.00 ± 17.89,8.00 ± 17.89,8.00 ± 17.89,2620.00 ± 2777.05
Unknown-207,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 277.49
Unknown-208,3.33 ± 7.45,5.00 ± 11.18,4.00 ± 8.94,1080.00 ± 465.83
Unknown-209,5.62 ± 9.62,4.29 ± 6.39,4.77 ± 7.59,900.00 ± 458.26
Unknown-210,23.77 ± 16.57,33.95 ± 25.86,27.88 ± 20.09,640.00 ± 336.15
Unknown-211,18.54 ± 11.41,17.75 ± 11.36,18.10 ± 11.34,5340.00 ± 1558.20
Unknown-212,23.12 ± 12.04,21.97 ± 16.72,22.19 ± 14.02,4560.00 ± 1215.73
Unknown-213,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 182.57
Unknown-214,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,200.00 ± 100.00
Unknown-215,24.88 ± 15.67,42.17 ± 28.95,30.39 ± 18.96,620.00 ± 216.79
Unknown-216,6.18 ± 10.83,9.05 ± 17.45,7.26 ± 13.36,960.00 ± 669.33
Unknown-217,45.21 ± 8.10,43.27 ± 10.93,44.11 ± 9.48,14360.00 ± 4581.27
Unknown-218,45.47 ± 15.81,53.86 ± 15.96,48.30 ± 13.89,1500.00 ± 758.29
Unknown-219,48.55 ± 9.78,47.39 ± 7.39,47.63 ± 7.60,3800.00 ± 1272.79
Unknown-220,20.82 ± 16.20,23.13 ± 13.85,21.23 ± 15.11,2300.00 ± 860.23
Unknown-221,4.21 ± 9.42,6.15 ± 13.76,5.00 ± 11.18,520.00 ± 521.54
Unknown-222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-224,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 618.47
Unknown-225,26.84 ± 15.56,32.28 ± 22.04,28.73 ± 17.24,2460.00 ± 820.37
Unknown-226,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,475.00 ± 689.81
Unknown-227,12.78 ± 18.80,16.89 ± 23.18,14.09 ± 19.69,880.00 ± 949.74
Unknown-228,33.57 ± 9.97,32.66 ± 7.96,32.03 ± 6.45,2160.00 ± 680.44
Unknown-229,32.52 ± 11.48,37.68 ± 13.35,34.49 ± 11.69,1760.00 ± 1105.89
Unknown-230,54.83 ± 9.01,51.83 ± 9.33,52.92 ± 8.36,5860.00 ± 2790.70
Unknown-231,46.59 ± 12.36,42.14 ± 12.53,43.96 ± 12.05,2720.00 ± 576.19
Unknown-232,13.11 ± 8.77,11.55 ± 7.83,12.02 ± 7.72,1320.00 ± 370.14
Unknown-233,41.76 ± 16.55,38.25 ± 15.38,39.66 ± 15.61,3360.00 ± 1883.61
Unknown-234,35.00 ± 31.97,33.44 ± 30.63,34.17 ± 31.23,10820.00 ± 3307.11
Unknown-235,25.00 ± 28.87,37.50 ± 47.87,29.17 ± 34.36,125.00 ± 50.00
Unknown-236,50.00 ± 70.71,16.67 ± 23.57,25.00 ± 35.36,200.00 ± 141.42
Unknown-237,9.05 ± 13.08,6.67 ± 9.43,7.27 ± 9.96,520.00 ± 567.45
Unknown-238,36.95 ± 5.52,40.45 ± 11.44,38.20 ± 6.80,3300.00 ± 1550.81
Unknown-239,12.67 ± 12.11,17.71 ± 16.35,14.54 ± 13.43,720.00 ± 491.93
Unknown-240,21.46 ± 14.08,18.82 ± 11.96,19.93 ± 12.95,1500.00 ± 308.22
Unknown-241,18.77 ± 13.62,24.88 ± 14.69,20.67 ± 12.88,740.00 ± 433.59
Unknown-242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 1067.71
Unknown-243,24.55 ± 16.49,16.95 ± 11.04,18.83 ± 11.63,840.00 ± 594.14
Unknown-244,40.39 ± 34.94,48.57 ± 30.78,41.80 ± 33.57,400.00 ± 187.08
Unknown-246,37.36 ± 16.97,41.44 ± 13.69,38.35 ± 13.95,2080.00 ± 1035.37
Unknown-247,1.00 ± 2.24,1.33 ± 2.98,1.14 ± 2.56,640.00 ± 572.71
Unknown-248,15.05 ± 11.26,13.22 ± 11.94,13.79 ± 11.32,1920.00 ± 742.97
Unknown-249,18.30 ± 14.24,23.33 ± 13.69,19.30 ± 11.52,440.00 ± 270.19
Unknown-250,18.21 ± 18.75,19.86 ± 14.64,18.53 ± 16.17,660.00 ± 415.93
Unknown-251,28.68 ± 26.32,26.48 ± 27.55,26.45 ± 24.66,1020.00 ± 1418.45
Unknown-252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-253,37.46 ± 7.79,39.43 ± 10.62,38.09 ± 8.29,4640.00 ± 870.63
Unknown-254,12.50 ± 25.00,25.00 ± 50.00,16.67 ± 33.33,375.00 ± 359.40
Unknown-255,28.44 ± 8.02,35.18 ± 11.79,31.20 ± 9.24,3660.00 ± 194.94
Unknown-256,44.83 ± 10.68,38.76 ± 9.89,39.94 ± 6.28,640.00 ± 378.15
Unknown-257,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 439.32
Unknown-258,18.54 ± 11.92,18.67 ± 11.05,18.10 ± 10.53,3680.00 ± 1595.93
Unknown-259,32.83 ± 21.44,41.67 ± 27.64,36.57 ± 24.00,560.00 ± 219.09
Unknown-260,27.81 ± 35.32,31.64 ± 39.04,28.79 ± 36.32,580.00 ± 544.98
Unknown-261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-262,32.65 ± 20.65,34.01 ± 23.96,32.85 ± 21.22,3260.00 ± 2020.64
Unknown-263,52.97 ± 47.21,56.26 ± 49.88,54.56 ± 48.51,3333.33 ± 3027.10
Unknown-264,28.92 ± 14.75,29.38 ± 12.89,27.95 ± 11.71,2660.00 ± 1273.97
Unknown-265,29.55 ± 23.95,22.18 ± 16.97,25.26 ± 19.86,2400.00 ± 1133.58
Unknown-266,47.29 ± 28.04,38.80 ± 22.88,42.58 ± 25.13,8960.00 ± 882.04
Unknown-267,60.73 ± 7.31,41.95 ± 6.59,49.58 ± 6.92,16760.00 ± 2020.64
Unknown-268,18.17 ± 15.77,19.83 ± 15.97,18.42 ± 15.21,680.00 ± 465.83
Unknown-269,9.90 ± 8.48,11.80 ± 10.54,10.74 ± 9.39,2600.00 ± 644.20
Unknown-270,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,220.00 ± 130.38
Unknown-271,44.84 ± 26.20,43.75 ± 25.09,44.18 ± 25.47,7120.00 ± 1314.15
Unknown-272,15.88 ± 10.39,18.43 ± 7.87,16.88 ± 9.21,3660.00 ± 1016.37
