Category,precision,recall,f1-score,support
Community,0.5884,0.7237,0.6491,3145.0000
Entertainment,0.6740,0.7095,0.6913,2771.0000
Food,0.7633,0.6484,0.7012,7859.0000
Nightlife,0.4244,0.7085,0.5308,1410.0000
Outdoors,0.6676,0.7459,0.7046,2216.0000
Shopping,0.7803,0.7198,0.7488,6702.0000
Travel,0.8549,0.8140,0.8340,7732.0000
macro avg,0.6790,0.7243,0.6943,31835.0000
weighted avg,0.7424,0.7259,0.7302,31835.0000
