Category,precision,recall,f1-score,support
Community,0.2503,0.2115,0.2292,1097.0000
Entertainment,0.0878,0.1366,0.1069,410.0000
Food,0.3891,0.2804,0.3259,2172.0000
Nightlife,0.1071,0.1057,0.1064,227.0000
Outdoors,0.1204,0.1264,0.1233,364.0000
Shopping,0.2991,0.3510,0.3230,1644.0000
Travel,0.1449,0.2268,0.1768,441.0000
macro avg,0.1998,0.2055,0.1988,6355.0000
