epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.034766,0.817248,1.394179,4.175462,0.193408,32.451347,6.627120,6.627120,32.147694,3.320934,3.320934
2,-0.065379,0.100407,0.207817,4.367551,0.286709,32.203869,6.702001,0.921491,32.386143,4.838372,3.001887
3,-0.034343,0.847049,0.098528,4.127671,0.379601,31.961914,6.740877,1.710206,32.547699,5.888962,2.670419
4,0.013149,0.001815,0.083933,3.867570,0.472086,31.664633,6.718720,0.301226,32.655884,6.615919,2.764159
5,0.010961,0.000526,0.125877,3.593400,0.563914,31.372475,6.710564,0.293634,32.736160,7.225217,2.405508
6,-0.060960,0.001315,0.089328,3.362054,0.654845,31.086756,6.714290,0.288811,32.815933,7.785186,2.639904
7,0.003285,0.001173,0.163135,3.103099,0.744654,30.805090,6.730854,0.285916,32.973736,8.462953,2.883320
8,-0.011931,0.000726,0.079941,2.909896,0.833140,30.533844,6.761771,0.349241,33.016071,8.813762,1.960991
9,-0.038126,0.004329,0.113295,2.729178,0.920096,30.278765,6.806894,0.592479,33.059887,9.192651,1.965143
10,-0.006339,0.001394,0.055730,2.557469,1.005415,30.016649,6.858962,0.408144,33.098324,9.508364,1.878276
11,-0.011362,0.013469,0.081078,2.407696,1.088857,29.844149,7.276927,2.217146,33.127068,9.820864,1.969373
12,-0.022833,0.011193,0.107221,2.278224,1.170317,29.649649,7.533070,1.379955,33.149570,10.108085,1.895222
13,0.020420,0.006277,0.129819,2.184090,1.247150,30.869320,11.418321,8.552182,33.203491,10.369945,1.881229
14,-0.013816,0.002178,0.124840,2.082322,1.323670,30.713125,11.608469,0.510483,33.244961,10.663607,2.018989
15,-0.004888,0.002151,0.081951,2.016153,1.397937,30.519365,11.666021,1.399613,33.270733,10.941754,1.954285
16,0.009614,0.002270,0.093713,1.956509,1.468630,30.301811,11.669971,0.284688,33.306889,11.205821,1.860297
17,0.040882,0.001040,0.067392,1.915260,1.531999,30.087072,11.663801,0.254272,33.341003,11.458619,1.885995
18,-0.007151,0.000616,0.091406,1.884037,1.582781,29.886110,11.674156,0.402391,33.373844,11.706419,1.799879
19,-0.006658,0.009105,0.057484,1.859101,1.621869,29.694025,11.695786,0.464891,33.406055,11.934268,1.761247
20,-0.003457,0.000334,0.059477,1.854152,1.654321,29.506210,11.698499,0.197393,33.431877,12.139475,1.718184
21,-0.003779,0.000439,0.108572,1.836165,1.681230,29.328825,11.704674,0.183949,33.457916,12.338586,1.660705
22,-0.010240,0.000660,0.105956,1.834351,1.703315,29.160942,11.712965,0.192898,33.481667,12.526276,1.620800
23,0.004171,0.001732,0.073863,1.834688,1.721656,29.002445,11.720718,0.300071,33.505848,12.687800,1.556543
24,0.012427,0.001885,0.088285,1.836001,1.738651,28.861506,11.751681,0.622737,33.529617,12.855308,1.589623
25,0.003233,0.001464,0.119339,1.825262,1.753781,28.794128,12.022973,2.334814,33.560890,13.017038,1.605667
26,0.171060,1.456903,0.126592,1.807271,1.764926,30.206978,15.345157,9.119683,33.594650,13.141645,1.445769
27,0.047421,0.020489,0.075515,1.820604,1.775233,30.315750,15.692018,3.023670,33.614723,13.239358,1.210676
