Category,precision,recall,f1-score,support
Community,45.14 ± 3.86,57.82 ± 8.90,50.19 ± 2.43,43860.00 ± 54.77
Entertainment,40.70 ± 4.62,50.66 ± 3.88,44.98 ± 3.36,16740.00 ± 54.77
Food,56.02 ± 2.52,41.24 ± 6.19,47.21 ± 3.33,86900.00 ± 0.00
Nightlife,37.66 ± 7.47,48.39 ± 12.64,41.81 ± 8.35,9060.00 ± 54.77
Outdoors,42.10 ± 3.79,43.83 ± 8.16,42.70 ± 4.84,14240.00 ± 54.77
Shopping,52.62 ± 3.14,49.66 ± 4.33,50.94 ± 2.06,65760.00 ± 54.77
Travel,40.63 ± 5.63,51.75 ± 4.78,45.18 ± 3.28,17620.00 ± 44.72
macro avg,44.98 ± 1.88,49.05 ± 2.59,46.14 ± 2.05,254180.00 ± 44.72
