epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.020355,0.711042,0.976423,2.574616,0.250000,0.750000,0.112800,32.158318,3.257012,3.257012,32.035351,1.074582,1.074582
2,-0.024624,0.424517,0.566600,3.201800,0.250000,0.750000,0.126752,32.306717,4.691862,1.600100,32.050175,1.553643,0.574956
3,0.026430,0.044623,0.136587,3.296581,0.250000,0.750000,0.142006,32.414433,5.570611,1.008883,32.065506,1.883566,0.449140
4,-0.021944,0.024852,0.228242,3.347847,0.250000,0.750000,0.157790,32.468563,6.064411,0.620566,32.076992,2.113684,0.433872
5,-0.092105,0.017649,0.337233,3.432437,0.250000,0.750000,0.173903,32.498562,6.388740,0.445491,32.087013,2.309866,0.412490
6,0.041436,0.023878,0.345514,3.497483,0.250000,0.750000,0.190629,32.518963,6.602046,0.393540,32.094566,2.470682,0.421712
7,0.065251,0.008457,0.241323,3.569062,0.250000,0.750000,0.207696,32.535103,6.756648,0.361406,32.104038,2.631645,0.403542
8,0.024977,0.014121,0.191879,3.683865,0.250000,0.750000,0.224946,32.555206,6.871497,0.377571,32.116028,2.789367,0.441382
9,-0.070267,0.005159,0.299047,3.750411,0.250000,0.750000,0.242093,32.578129,6.972602,0.383569,32.131042,2.953357,0.444394
10,-0.134325,0.003085,0.292770,3.819050,0.250000,0.750000,0.259226,32.596287,7.058445,0.332548,32.148178,3.111420,0.444906
11,0.003592,0.001704,0.119802,3.844997,0.250000,0.750000,0.276517,32.608837,7.133186,0.317570,32.165936,3.269372,0.445566
12,0.035098,0.002090,0.233177,3.870384,0.250000,0.750000,0.293663,32.618427,7.184269,0.304694,32.184322,3.414287,0.458429
13,-0.028686,0.002606,0.328880,3.896354,0.250000,0.750000,0.310487,32.634346,7.214206,0.327062,32.204903,3.549575,0.457272
14,-0.021041,0.002164,0.158503,3.960040,0.250000,0.750000,0.327441,32.659035,7.237894,0.330344,32.228863,3.695252,0.453922
15,-0.030091,0.003084,0.308893,4.005532,0.250000,0.750000,0.344093,32.692471,7.263647,0.377760,32.256424,3.837685,0.465886
16,0.021122,0.003625,0.459103,3.956023,0.250000,0.750000,0.359963,32.724693,7.295867,0.365988,32.284164,3.972992,0.436181
17,-0.029912,0.004292,0.368753,3.996265,0.250000,0.750000,0.375137,32.760368,7.333716,0.428927,32.311649,4.105106,0.401832
18,0.019271,0.004685,0.313410,4.083025,0.250000,0.750000,0.390497,32.819775,7.387719,0.438691,32.343685,4.239604,0.423657
19,0.138352,0.008675,0.360146,4.089779,0.250000,0.750000,0.405730,32.894180,7.457293,0.478209,32.377296,4.367655,0.442656
20,-0.061059,0.005450,0.766925,4.085730,0.250000,0.750000,0.420414,32.967098,7.539299,0.516438,32.409985,4.494156,0.422821
21,-0.035427,0.003607,0.500299,4.098726,0.250000,0.750000,0.435058,33.047417,7.638391,0.503614,32.443260,4.616953,0.399450
22,-0.002356,0.003325,0.441916,4.170536,0.250000,0.750000,0.449816,33.120476,7.738543,0.546984,32.475639,4.728785,0.408241
23,0.080448,0.004135,0.323593,4.230909,0.250000,0.750000,0.464934,33.191521,7.844621,0.637134,32.506634,4.839338,0.423649
24,0.037706,0.005104,0.414209,4.251871,0.250000,0.750000,0.480135,33.255573,7.967017,0.627232,32.534416,4.947243,0.435244
