epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,7.020161021839488,0.024766774848103523,0.010855335068417736,0.00811961479485035,0.029231537133455276,0.062143974006175995,0.05763129144906998,0.043610911816358566,0.08192451298236847,0.053562916815280914
2,6.715076099742543,0.07510536164045334,0.03910407280861679,0.03246999531984329,0.08048254251480103,0.14825330674648285,0.1534782350063324,0.12011267244815826,0.207605242729187,0.14232400059700012
3,6.450718966397372,0.1277170032262802,0.08733969530139335,0.0627179890871048,0.1378864198923111,0.22403624653816223,0.2434057742357254,0.194347083568573,0.3153383433818817,0.22394010424613953
4,6.248452620072798,0.19311454892158508,0.131499370006121,0.10204463452100754,0.19990050792694092,0.3107927441596985,0.34872376918792725,0.2831634283065796,0.43363165855407715,0.3180793523788452
5,6.057400790127841,0.2486148476600647,0.1681137791981492,0.1426304131746292,0.2487315833568573,0.36873066425323486,0.4063076972961426,0.340212881565094,0.4925415515899658,0.37570151686668396
6,5.904631874778054,0.2821896970272064,0.18499290511300812,0.1653020679950714,0.27689027786254883,0.401279091835022,0.44030874967575073,0.37374264001846313,0.5282473564147949,0.40994682908058167
7,5.745204578746449,0.2909504175186157,0.20643563017487626,0.1849851906299591,0.2862789034843445,0.4068123400211334,0.4449968934059143,0.379977285861969,0.529289186000824,0.4145906865596771
8,5.599752946333452,0.30937159061431885,0.20641668202401012,0.18600493669509888,0.3015725016593933,0.4213777482509613,0.45536768436431885,0.39382147789001465,0.5384287238121033,0.42802080512046814
9,5.448703765869141,0.315622478723526,0.2198998211006608,0.19970473647117615,0.30584457516670227,0.4262997508049011,0.46195006370544434,0.3999280631542206,0.5429748296737671,0.4332895278930664
10,5.315363103693182,0.3239096403121948,0.2281872075248789,0.20737066864967346,0.3141595721244812,0.4323236048221588,0.4652649462223053,0.40529507398605347,0.5458635091781616,0.4384089708328247
11,5.1838531494140625,0.32433584332466125,0.23431429907164858,0.20724265277385712,0.31413424015045166,0.4322230815887451,0.4629918932914734,0.4046134054660797,0.5454373359680176,0.4384459853172302
12,5.054113214666193,0.32817161083221436,0.24353199599666964,0.21108460426330566,0.31794464588165283,0.43551912903785706,0.46649616956710815,0.40839502215385437,0.5473788976669312,0.4416438043117523
13,4.9225547096946025,0.3295922577381134,0.23146372074426075,0.20534180104732513,0.3190104365348816,0.43644317984580994,0.4676327109336853,0.4094752371311188,0.5470947623252869,0.4421287775039673
