Category,Precision,Recall,F1-Score
Shopping,0.4358 ± 0.0099,0.4379 ± 0.0286,0.4365 ± 0.0174
Community,0.4135 ± 0.0090,0.3134 ± 0.0219,0.3561 ± 0.0151
Food,0.4327 ± 0.0061,0.6596 ± 0.0252,0.5223 ± 0.0067
Entertainment,0.3576 ± 0.0388,0.0920 ± 0.0117,0.1456 ± 0.0149
Travel,0.4854 ± 0.0117,0.4003 ± 0.0088,0.4386 ± 0.0068
Outdoors,0.3512 ± 0.0153,0.1420 ± 0.0268,0.2014 ± 0.0297
Nightlife,0.3505 ± 0.0239,0.0758 ± 0.0148,0.1241 ± 0.0209
