Category,precision,recall,f1-score,support
Community,27.64 ± 2.52,44.35 ± 5.33,33.96 ± 2.86,65740.00 ± 54.77
Entertainment,15.00 ± 2.24,16.72 ± 5.20,15.28 ± 1.73,32900.00 ± 0.00
Food,43.22 ± 2.15,24.53 ± 7.07,30.80 ± 5.46,171620.00 ± 44.72
Nightlife,12.01 ± 1.79,16.87 ± 5.46,13.42 ± 1.59,23940.00 ± 54.77
Outdoors,24.23 ± 1.93,26.80 ± 8.24,24.63 ± 3.49,25160.00 ± 54.77
Shopping,39.25 ± 3.05,39.62 ± 7.71,38.83 ± 3.17,135100.00 ± 0.00
Travel,36.97 ± 2.48,45.04 ± 4.97,40.40 ± 1.49,47200.00 ± 0.00
macro avg,28.33 ± 1.00,30.56 ± 1.86,28.19 ± 0.97,501660.00 ± 54.77
