engine,state,task,granularity,level,metric,seed,value
hgi,alabama,reg,poi,L1,top5_acc,0,0.32742616534233093
hgi,alabama,reg,poi,L1,ndcg_5,0,0.23648902773857117
hgi,alabama,reg,poi,L1,train_acc,0,0.4970208406448364
hgi,alabama,reg,poi,L1,test_class_coverage,0,0.9137426900584795
hgi,alabama,reg,poi,L0,knn10_acc,1,0.11181434599156118
hgi,alabama,reg,poi,L0,knn10_macro_f1,1,0.045323915321604
hgi,alabama,reg,poi,L0,silhouette,1,-0.36889979243278503
hgi,alabama,reg,poi,L0,cohesion,1,0.6717981100082397
hgi,alabama,reg,poi,L0,centroid_inter_sim,1,0.17443828284740448
hgi,alabama,reg,poi,L0,sep_ratio,1,3.8512079977072284
hgi,alabama,reg,poi,L1,accuracy,1,0.13544303178787231
hgi,alabama,reg,poi,L1,accuracy_macro,1,0.08499268191543656
hgi,alabama,reg,poi,L1,f1,1,0.07209082692861557
hgi,alabama,reg,poi,L1,f1_weighted,1,0.13152703642845154
hgi,alabama,reg,poi,L1,mrr,1,0.22912345826625824
hgi,alabama,reg,poi,L1,top3_acc,1,0.2548523247241974
hgi,alabama,reg,poi,L1,ndcg_3,1,0.2044840157032013
hgi,alabama,reg,poi,L1,top5_acc,1,0.3168776333332062
hgi,alabama,reg,poi,L1,ndcg_5,1,0.23016135394573212
hgi,alabama,reg,poi,L1,train_acc,1,0.4968967139720917
hgi,alabama,reg,poi,L1,test_class_coverage,1,0.8986975397973951
hgi,alabama,reg,poi,L0,knn10_acc,2,0.10675105485232067
hgi,alabama,reg,poi,L0,knn10_macro_f1,2,0.04478257667573727
hgi,alabama,reg,poi,L0,silhouette,2,-0.3358125686645508
hgi,alabama,reg,poi,L0,cohesion,2,0.6716504096984863
hgi,alabama,reg,poi,L0,centroid_inter_sim,2,0.17306749522686005
hgi,alabama,reg,poi,L0,sep_ratio,2,3.8808582097873123
hgi,alabama,reg,poi,L1,accuracy,2,0.13881856203079224
hgi,alabama,reg,poi,L1,accuracy_macro,2,0.09289674604132529
hgi,alabama,reg,poi,L1,f1,2,0.08018939197063446
hgi,alabama,reg,poi,L1,f1_weighted,2,0.1337665468454361
hgi,alabama,reg,poi,L1,mrr,2,0.23539027571678162
hgi,alabama,reg,poi,L1,top3_acc,2,0.2586497962474823
hgi,alabama,reg,poi,L1,ndcg_3,2,0.20796003937721252
hgi,alabama,reg,poi,L1,top5_acc,2,0.32616034150123596
hgi,alabama,reg,poi,L1,ndcg_5,2,0.2358333319425583
hgi,alabama,reg,poi,L1,train_acc,2,0.5106752514839172
hgi,alabama,reg,poi,L1,test_class_coverage,2,0.9194729136163983
hgi,alabama,reg,poi,L0,knn10_acc,3,0.12916842549598986
hgi,alabama,reg,poi,L0,knn10_macro_f1,3,0.05508799342028249
hgi,alabama,reg,poi,L0,silhouette,3,-0.3469766080379486
hgi,alabama,reg,poi,L0,cohesion,3,0.6704974174499512
hgi,alabama,reg,poi,L0,centroid_inter_sim,3,0.17486178874969482
hgi,alabama,reg,poi,L0,sep_ratio,3,3.8344421742690273
hgi,alabama,reg,poi,L1,accuracy,3,0.1405656337738037
hgi,alabama,reg,poi,L1,accuracy_macro,3,0.09431099951416627
hgi,alabama,reg,poi,L1,f1,3,0.08091676235198975
hgi,alabama,reg,poi,L1,f1_weighted,3,0.13650377094745636
hgi,alabama,reg,poi,L1,mrr,3,0.2358189821243286
hgi,alabama,reg,poi,L1,top3_acc,3,0.2612916827201843
hgi,alabama,reg,poi,L1,ndcg_3,3,0.21026894450187683
hgi,alabama,reg,poi,L1,top5_acc,3,0.33178555965423584
hgi,alabama,reg,poi,L1,ndcg_5,3,0.23920458555221558
hgi,alabama,reg,poi,L1,train_acc,3,0.502916693687439
hgi,alabama,reg,poi,L1,test_class_coverage,3,0.9068413391557496
hgi,alabama,reg,poi,L0,knn10_acc,4,0.11312790206838329
hgi,alabama,reg,poi,L0,knn10_macro_f1,4,0.045908993904007295
hgi,alabama,reg,poi,L0,silhouette,4,-0.3491528332233429
hgi,alabama,reg,poi,L0,cohesion,4,0.6772128343582153
hgi,alabama,reg,poi,L0,centroid_inter_sim,4,0.17176485061645508
hgi,alabama,reg,poi,L0,sep_ratio,4,3.9426741380889854
hgi,alabama,reg,poi,L1,accuracy,4,0.13634444773197174
hgi,alabama,reg,poi,L1,accuracy_macro,4,0.0786941122300554
hgi,alabama,reg,poi,L1,f1,4,0.06830364465713501
hgi,alabama,reg,poi,L1,f1_weighted,4,0.12896357476711273
hgi,alabama,reg,poi,L1,mrr,4,0.2345600426197052
hgi,alabama,reg,poi,L1,top3_acc,4,0.2684676945209503
hgi,alabama,reg,poi,L1,ndcg_3,4,0.21229904890060425
hgi,alabama,reg,poi,L1,top5_acc,4,0.3262980282306671
hgi,alabama,reg,poi,L1,ndcg_5,4,0.23598428070545197
hgi,alabama,reg,poi,L1,train_acc,4,0.5134665369987488
hgi,alabama,reg,poi,L1,test_class_coverage,4,0.9134751773049645
hgi,arizona,cat,poi,L0,n_eval,-1,20666.0
hgi,arizona,cat,poi,L0,label_coverage,-1,1.0
hgi,arizona,cat,poi,L0,knn10_acc,0,0.7542331881954524
hgi,arizona,cat,poi,L0,knn10_macro_f1,0,0.7339021285796768
hgi,arizona,cat,poi,L0,silhouette,0,8.798127237241715e-05
hgi,arizona,cat,poi,L0,cohesion,0,0.3151043653488159
hgi,arizona,cat,poi,L0,centroid_inter_sim,0,0.3414022922515869
hgi,arizona,cat,poi,L0,sep_ratio,0,0.9229708543275056
hgi,arizona,cat,poi,L1,accuracy,0,0.6727140545845032
hgi,arizona,cat,poi,L1,accuracy_macro,0,0.6003735065460205
hgi,arizona,cat,poi,L1,f1,0,0.6208791136741638
hgi,arizona,cat,poi,L1,f1_weighted,0,0.6700105667114258
hgi,arizona,cat,poi,L1,mrr,0,0.8083875179290771
hgi,arizona,cat,poi,L1,top3_acc,0,0.9404934644699097
hgi,arizona,cat,poi,L1,ndcg_3,0,0.832859456539154
hgi,arizona,cat,poi,L1,top5_acc,0,0.9903241395950317
hgi,arizona,cat,poi,L1,ndcg_5,0,0.8534404635429382
hgi,arizona,cat,poi,L1,train_acc,0,0.6962710022926331
hgi,arizona,cat,poi,L1,test_class_coverage,0,1.0
hgi,arizona,cat,poi,L0,knn10_acc,1,0.7686910234696347
hgi,arizona,cat,poi,L0,knn10_macro_f1,1,0.7429935740323284
hgi,arizona,cat,poi,L0,silhouette,1,-0.00035304942866787314
hgi,arizona,cat,poi,L0,cohesion,1,0.3189122974872589
hgi,arizona,cat,poi,L0,centroid_inter_sim,1,0.3299129009246826
hgi,arizona,cat,poi,L0,sep_ratio,1,0.9666560373765587
hgi,arizona,cat,poi,L1,accuracy,1,0.6847326159477234
hgi,arizona,cat,poi,L1,accuracy_macro,1,0.6131361722946167
hgi,arizona,cat,poi,L1,f1,1,0.6354702711105347
hgi,arizona,cat,poi,L1,f1_weighted,1,0.6820297241210938
hgi,arizona,cat,poi,L1,mrr,1,0.8169345259666443
hgi,arizona,cat,poi,L1,top3_acc,1,0.945560097694397
hgi,arizona,cat,poi,L1,ndcg_3,1,0.841344952583313
hgi,arizona,cat,poi,L1,top5_acc,1,0.9893539547920227
hgi,arizona,cat,poi,L1,ndcg_5,1,0.859559178352356
hgi,arizona,cat,poi,L1,train_acc,1,0.6958656311035156
hgi,arizona,cat,poi,L1,test_class_coverage,1,1.0
hgi,arizona,cat,poi,L0,knn10_acc,2,0.7749818533752721
hgi,arizona,cat,poi,L0,knn10_macro_f1,2,0.7515655423800529
hgi,arizona,cat,poi,L0,silhouette,2,0.002569697331637144
hgi,arizona,cat,poi,L0,cohesion,2,0.3176132142543793
hgi,arizona,cat,poi,L0,centroid_inter_sim,2,0.32792600989341736
hgi,arizona,cat,poi,L0,sep_ratio,2,0.9685514557311573
hgi,arizona,cat,poi,L1,accuracy,2,0.6968303918838501
hgi,arizona,cat,poi,L1,accuracy_macro,2,0.6199601888656616
hgi,arizona,cat,poi,L1,f1,2,0.6412647366523743
hgi,arizona,cat,poi,L1,f1_weighted,2,0.6945053339004517
hgi,arizona,cat,poi,L1,mrr,2,0.8235324621200562
hgi,arizona,cat,poi,L1,top3_acc,2,0.9484635591506958
hgi,arizona,cat,poi,L1,ndcg_3,2,0.8473250865936279
hgi,arizona,cat,poi,L1,top5_acc,2,0.9920154809951782
hgi,arizona,cat,poi,L1,ndcg_5,2,0.8654137849807739
hgi,arizona,cat,poi,L1,train_acc,2,0.689532458782196
hgi,arizona,cat,poi,L1,test_class_coverage,2,1.0
hgi,arizona,cat,poi,L0,knn10_acc,3,0.7783692233244617
hgi,arizona,cat,poi,L0,knn10_macro_f1,3,0.7601476136038176
hgi,arizona,cat,poi,L0,silhouette,3,0.00011273704149061814
hgi,arizona,cat,poi,L0,cohesion,3,0.3187199532985687
hgi,arizona,cat,poi,L0,centroid_inter_sim,3,0.32261696457862854
hgi,arizona,cat,poi,L0,sep_ratio,3,0.9879206250509804
hgi,arizona,cat,poi,L1,accuracy,3,0.6890878081321716
hgi,arizona,cat,poi,L1,accuracy_macro,3,0.6216977834701538
hgi,arizona,cat,poi,L1,f1,3,0.6389134526252747
hgi,arizona,cat,poi,L1,f1_weighted,3,0.6872884035110474
hgi,arizona,cat,poi,L1,mrr,3,0.8195038437843323
hgi,arizona,cat,poi,L1,top3_acc,3,0.9465279579162598
hgi,arizona,cat,poi,L1,ndcg_3,3,0.8434680700302124
hgi,arizona,cat,poi,L1,top5_acc,3,0.9908056855201721
hgi,arizona,cat,poi,L1,ndcg_5,3,0.8619966506958008
hgi,arizona,cat,poi,L1,train_acc,3,0.6918095946311951
hgi,arizona,cat,poi,L1,test_class_coverage,3,1.0
hgi,arizona,cat,poi,L0,knn10_acc,4,0.7829663682555045
hgi,arizona,cat,poi,L0,knn10_macro_f1,4,0.7718359839106409
hgi,arizona,cat,poi,L0,silhouette,4,-0.00023841153597459197
hgi,arizona,cat,poi,L0,cohesion,4,0.3188023567199707
hgi,arizona,cat,poi,L0,centroid_inter_sim,4,0.31461888551712036
hgi,arizona,cat,poi,L0,sep_ratio,4,1.013296948770174
hgi,arizona,cat,poi,L1,accuracy,4,0.6898136734962463
hgi,arizona,cat,poi,L1,accuracy_macro,4,0.6289549469947815
hgi,arizona,cat,poi,L1,f1,4,0.6437807679176331
hgi,arizona,cat,poi,L1,f1_weighted,4,0.6881911158561707
hgi,arizona,cat,poi,L1,mrr,4,0.8193788528442383
hgi,arizona,cat,poi,L1,top3_acc,4,0.9494314193725586
hgi,arizona,cat,poi,L1,ndcg_3,4,0.8446174263954163
hgi,arizona,cat,poi,L1,top5_acc,4,0.9917735457420349
hgi,arizona,cat,poi,L1,ndcg_5,4,0.8622381687164307
hgi,arizona,cat,poi,L1,train_acc,4,0.6955098509788513
hgi,arizona,cat,poi,L1,test_class_coverage,4,1.0
hgi,arizona,reg,poi,L0,n_eval,-1,20666.0
hgi,arizona,reg,poi,L0,label_coverage,-1,1.0
hgi,arizona,reg,poi,L0,knn10_acc,0,0.11804547653604257
hgi,arizona,reg,poi,L0,knn10_macro_f1,0,0.04940244974162938
hgi,arizona,reg,poi,L0,silhouette,0,-0.38178110122680664
hgi,arizona,reg,poi,L0,cohesion,0,0.6050236821174622
hgi,arizona,reg,poi,L0,centroid_inter_sim,0,0.09579434245824814
hgi,arizona,reg,poi,L0,sep_ratio,0,6.315860275163547
hgi,arizona,reg,poi,L1,accuracy,0,0.12239961326122284
hgi,arizona,reg,poi,L1,accuracy_macro,0,0.07693923581748283
hgi,arizona,reg,poi,L1,f1,0,0.06746003031730652
hgi,arizona,reg,poi,L1,f1_weighted,0,0.11622396856546402
hgi,arizona,reg,poi,L1,mrr,0,0.20666714012622833
hgi,arizona,reg,poi,L1,top3_acc,0,0.2259313017129898
hgi,arizona,reg,poi,L1,ndcg_3,0,0.18236835300922394
hgi,arizona,reg,poi,L1,top5_acc,0,0.2815674841403961
hgi,arizona,reg,poi,L1,ndcg_5,0,0.2051316648721695
hgi,arizona,reg,poi,L1,train_acc,0,0.4086250960826874
hgi,arizona,reg,poi,L1,test_class_coverage,0,0.9404651162790698
hgi,arizona,reg,poi,L0,knn10_acc,1,0.1134768932978466
hgi,arizona,reg,poi,L0,knn10_macro_f1,1,0.0470775745842302
hgi,arizona,reg,poi,L0,silhouette,1,-0.3684708774089813
hgi,arizona,reg,poi,L0,cohesion,1,0.6067051291465759
hgi,arizona,reg,poi,L0,centroid_inter_sim,1,0.09198014438152313
hgi,arizona,reg,poi,L0,sep_ratio,1,6.59604454011327
hgi,arizona,reg,poi,L1,accuracy,1,0.12388096004724503
hgi,arizona,reg,poi,L1,accuracy_macro,1,0.07646266140295985
hgi,arizona,reg,poi,L1,f1,1,0.07003243267536163
hgi,arizona,reg,poi,L1,f1_weighted,1,0.12147911638021469
hgi,arizona,reg,poi,L1,mrr,1,0.20941124856472015
hgi,arizona,reg,poi,L1,top3_acc,1,0.22816355526447296
hgi,arizona,reg,poi,L1,ndcg_3,1,0.1842271387577057
hgi,arizona,reg,poi,L1,top5_acc,1,0.2915557622909546
hgi,arizona,reg,poi,L1,ndcg_5,1,0.2102774828672409
hgi,arizona,reg,poi,L1,train_acc,1,0.4293033480644226
hgi,arizona,reg,poi,L1,test_class_coverage,1,0.9426987060998152
hgi,arizona,reg,poi,L0,knn10_acc,2,0.10404064843939027
hgi,arizona,reg,poi,L0,knn10_macro_f1,2,0.04824397072293292
hgi,arizona,reg,poi,L0,silhouette,2,-0.36497724056243896
hgi,arizona,reg,poi,L0,cohesion,2,0.6049751043319702
hgi,arizona,reg,poi,L0,centroid_inter_sim,2,0.0958133190870285
hgi,arizona,reg,poi,L0,sep_ratio,2,6.314102361723461
hgi,arizona,reg,poi,L1,accuracy,2,0.13573674857616425
hgi,arizona,reg,poi,L1,accuracy_macro,2,0.09118494057556406
hgi,arizona,reg,poi,L1,f1,2,0.07931900024414062
hgi,arizona,reg,poi,L1,f1_weighted,2,0.13040271401405334
hgi,arizona,reg,poi,L1,mrr,2,0.21895086765289307
hgi,arizona,reg,poi,L1,top3_acc,2,0.24074521660804749
hgi,arizona,reg,poi,L1,ndcg_3,2,0.19593900442123413
hgi,arizona,reg,poi,L1,top5_acc,2,0.29808855056762695
hgi,arizona,reg,poi,L1,ndcg_5,2,0.21937361359596252
hgi,arizona,reg,poi,L1,train_acc,2,0.43165159225463867
hgi,arizona,reg,poi,L1,test_class_coverage,2,0.9530516431924883
hgi,arizona,reg,poi,L0,knn10_acc,3,0.10839583837406243
hgi,arizona,reg,poi,L0,knn10_macro_f1,3,0.040998702603039845
hgi,arizona,reg,poi,L0,silhouette,3,-0.3777977228164673
hgi,arizona,reg,poi,L0,cohesion,3,0.6022350788116455
hgi,arizona,reg,poi,L0,centroid_inter_sim,3,0.0987333133816719
hgi,arizona,reg,poi,L0,sep_ratio,3,6.09961377963276
hgi,arizona,reg,poi,L1,accuracy,3,0.12412291020154953
hgi,arizona,reg,poi,L1,accuracy_macro,3,0.0733055305480957
hgi,arizona,reg,poi,L1,f1,3,0.06610114127397537
hgi,arizona,reg,poi,L1,f1_weighted,3,0.11997172981500626
hgi,arizona,reg,poi,L1,mrr,3,0.20612117648124695
hgi,arizona,reg,poi,L1,top3_acc,3,0.2223566472530365
hgi,arizona,reg,poi,L1,ndcg_3,3,0.1809377819299698
hgi,arizona,reg,poi,L1,top5_acc,3,0.27897411584854126
hgi,arizona,reg,poi,L1,ndcg_5,3,0.20416583120822906
hgi,arizona,reg,poi,L1,train_acc,3,0.42873406410217285
hgi,arizona,reg,poi,L1,test_class_coverage,3,0.9394785847299814
hgi,arizona,reg,poi,L0,knn10_acc,4,0.10549237841761433
hgi,arizona,reg,poi,L0,knn10_macro_f1,4,0.04313718085015764
hgi,arizona,reg,poi,L0,silhouette,4,-0.37287357449531555
hgi,arizona,reg,poi,L0,cohesion,4,0.6043391823768616
hgi,arizona,reg,poi,L0,centroid_inter_sim,4,0.0996273010969162
hgi,arizona,reg,poi,L0,sep_ratio,4,6.065999738254155
hgi,arizona,reg,poi,L1,accuracy,4,0.11855794489383698
hgi,arizona,reg,poi,L1,accuracy_macro,4,0.08044587325096925
hgi,arizona,reg,poi,L1,f1,4,0.06897976249456406
hgi,arizona,reg,poi,L1,f1_weighted,4,0.11382456868886948
hgi,arizona,reg,poi,L1,mrr,4,0.20052039623260498
hgi,arizona,reg,poi,L1,top3_acc,4,0.21896927058696747
hgi,arizona,reg,poi,L1,ndcg_3,4,0.17668338119983673
hgi,arizona,reg,poi,L1,top5_acc,4,0.2700217664241791
hgi,arizona,reg,poi,L1,ndcg_5,4,0.19752533733844757
hgi,arizona,reg,poi,L1,train_acc,4,0.4139329791069031
hgi,arizona,reg,poi,L1,test_class_coverage,4,0.9479553903345725
hgi,florida,cat,poi,L0,n_eval,-1,40000.0
hgi,florida,cat,poi,L0,label_coverage,-1,1.0
hgi,florida,cat,poi,L0,knn10_acc,0,0.769625
hgi,florida,cat,poi,L0,knn10_macro_f1,0,0.7492173578912728
hgi,florida,cat,poi,L0,silhouette,0,0.0019093744922429323
hgi,florida,cat,poi,L0,cohesion,0,0.3322215974330902
hgi,florida,cat,poi,L0,centroid_inter_sim,0,0.2204832285642624
hgi,florida,cat,poi,L0,sep_ratio,0,1.506788519001845
hgi,florida,cat,poi,L1,accuracy,0,0.6792500019073486
hgi,florida,cat,poi,L1,accuracy_macro,0,0.6140638589859009
hgi,florida,cat,poi,L1,f1,0,0.6334459781646729
hgi,florida,cat,poi,L1,f1_weighted,0,0.6762253642082214
hgi,florida,cat,poi,L1,mrr,0,0.8111289143562317
