Category,precision,recall,f1-score,support
Community,0.5541,0.7294,0.6298,3145.0000
Entertainment,0.6811,0.7320,0.7056,2772.0000
Food,0.8113,0.6329,0.7111,7859.0000
Nightlife,0.4424,0.7277,0.5503,1410.0000
Outdoors,0.6867,0.7329,0.7090,2216.0000
Shopping,0.7852,0.7250,0.7539,6702.0000
Travel,0.8455,0.8435,0.8445,7732.0000
macro avg,0.6866,0.7319,0.7006,31836.0000
weighted avg,0.7524,0.7328,0.7367,31836.0000
