Category,precision,recall,f1-score,support
Community,0.3328,0.4371,0.3778,437.0000
Entertainment,0.3167,0.1275,0.1818,149.0000
Food,0.4241,0.4337,0.4288,837.0000
Nightlife,0.1628,0.3977,0.2310,88.0000
Outdoors,0.1940,0.1000,0.1320,130.0000
Shopping,0.3882,0.2059,0.2691,641.0000
Travel,0.1981,0.4183,0.2689,153.0000
macro avg,0.2881,0.3029,0.2699,2435.0000
weighted avg,0.3558,0.3355,0.3295,2435.0000
