Category,Precision,Recall,F1-Score
Shopping,0.3960 ± 0.0292,0.2564 ± 0.0558,0.3065 ± 0.0311
Community,0.4671 ± 0.0495,0.0274 ± 0.0083,0.0516 ± 0.0149
Food,0.4029 ± 0.0137,0.7912 ± 0.0307,0.5333 ± 0.0060
Entertainment,0.7726 ± 0.0259,0.4343 ± 0.0329,0.5547 ± 0.0247
Travel,0.8401 ± 0.0130,0.7799 ± 0.0148,0.8088 ± 0.0111
Outdoors,0.7515 ± 0.0404,0.3235 ± 0.0155,0.4520 ± 0.0190
Nightlife,0.4951 ± 0.0521,0.0878 ± 0.0247,0.1483 ± 0.0367
