Category,precision,recall,f1-score,support
Community,0.4493,0.6379,0.5264,659.0000
Entertainment,0.3786,0.4912,0.4232,329.4000
Food,0.5968,0.3616,0.4498,1795.4000
Nightlife,0.2967,0.5260,0.3790,250.6000
Outdoors,0.3950,0.5939,0.4728,282.2000
Shopping,0.5861,0.5135,0.5470,1388.8000
Travel,0.5164,0.6521,0.5760,573.8000
macro avg,0.4598,0.5395,0.4820,5279.2000
