Category,precision,recall,f1-score,support
Community,29.63 ± 0.89,43.51 ± 5.12,35.12 ± 1.49,158740.00 ± 2112.58
Entertainment,27.55 ± 3.91,26.17 ± 0.21,26.74 ± 1.71,128020.00 ± 2357.33
Food,40.61 ± 2.23,17.56 ± 4.47,24.14 ± 3.77,376860.00 ± 4921.69
Nightlife,15.70 ± 2.17,36.16 ± 3.53,21.70 ± 1.49,65300.00 ± 2219.23
Outdoors,19.77 ± 1.76,28.15 ± 2.97,23.12 ± 1.37,111500.00 ± 1334.17
Shopping,43.38 ± 2.25,40.95 ± 3.94,41.97 ± 1.59,332520.00 ± 2658.38
Travel,62.95 ± 2.00,66.67 ± 3.18,64.67 ± 0.66,363060.00 ± 3582.32
macro avg,34.23 ± 0.69,37.02 ± 0.55,33.92 ± 0.61,1536000.00 ± 0.00
