Category,precision,recall,f1-score,support
Community,36.20 ± 6.29,35.33 ± 12.21,33.95 ± 4.57,43760.00 ± 54.77
Entertainment,20.73 ± 8.37,16.11 ± 10.65,15.46 ± 3.27,14900.00 ± 0.00
Food,43.98 ± 4.62,32.02 ± 12.58,35.28 ± 8.44,83640.00 ± 54.77
Nightlife,16.31 ± 5.46,34.34 ± 11.77,21.06 ± 4.91,8740.00 ± 54.77
Outdoors,15.29 ± 2.54,21.00 ± 7.10,17.18 ± 2.69,13040.00 ± 54.77
Shopping,40.30 ± 2.84,35.29 ± 7.71,36.98 ± 4.10,64100.00 ± 0.00
Travel,20.67 ± 6.54,30.85 ± 12.05,23.71 ± 5.60,15300.00 ± 0.00
macro avg,27.64 ± 0.84,29.28 ± 1.17,26.23 ± 0.75,243480.00 ± 44.72
