Category,precision,recall,f1-score,support
Community,0.5729,0.7771,0.6596,3145.0000
Entertainment,0.7191,0.7323,0.7256,2772.0000
Food,0.7918,0.6665,0.7238,7859.0000
Nightlife,0.4959,0.6941,0.5785,1409.0000
Outdoors,0.6677,0.7753,0.7175,2216.0000
Shopping,0.8008,0.7319,0.7648,6702.0000
Travel,0.8552,0.8253,0.8400,7732.0000
macro avg,0.7005,0.7432,0.7157,31835.0000
weighted avg,0.7594,0.7443,0.7476,31835.0000
