epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,7.0458831787109375,0.028130223974585533,0.009695205110492128,0.007395870517939329,0.02516581118106842,0.06803958117961884,0.06127667799592018,0.04729191213846207,0.08832497149705887,0.05841079726815224
2,6.728904724121094,0.08783318102359772,0.030301408656664374,0.026577968150377274,0.07655612379312515,0.17701193690299988,0.18923969566822052,0.14614728093147278,0.2548440992832184,0.17300499975681305
3,6.56151123046875,0.12776629626750946,0.048466416493773305,0.04891952872276306,0.11111447215080261,0.24093326926231384,0.2629094123840332,0.20522810518741608,0.3529064655303955,0.24216009676456451
4,6.434929656982422,0.14871643483638763,0.08162910867139368,0.07061029225587845,0.13292445242404938,0.2730124592781067,0.3096291720867157,0.2416643649339676,0.40119993686676025,0.2792525887489319
5,6.346124267578125,0.17015835642814636,0.09720771878609862,0.0925423800945282,0.1502317190170288,0.31047704815864563,0.35467687249183655,0.2771756947040558,0.4636569023132324,0.32195132970809937
6,6.2716625213623045,0.20310808718204498,0.11652142713969783,0.1096532791852951,0.1828015148639679,0.34810054302215576,0.3999212980270386,0.31671062111854553,0.5100816488265991,0.3620937466621399
7,6.196360015869141,0.23143503069877625,0.1282038707213643,0.1233888640999794,0.21037398278713226,0.378915399312973,0.4339529871940613,0.3484671115875244,0.5474574565887451,0.3950541317462921
8,6.124971008300781,0.2309432476758957,0.14117302010186142,0.1380847990512848,0.2074809968471527,0.3855428695678711,0.4492967426776886,0.35726049542427063,0.5662437081336975,0.40532001852989197
9,6.035208511352539,0.24254941940307617,0.15377061500005065,0.15345875918865204,0.21251031756401062,0.39926666021347046,0.46316513419151306,0.370474249124527,0.5841447710990906,0.42027562856674194
10,5.957432556152344,0.27785974740982056,0.1797041639434379,0.17766140401363373,0.24794679880142212,0.4306948781013489,0.49621322751045227,0.40451177954673767,0.6124716997146606,0.45232728123664856
11,5.875825500488281,0.29743286967277527,0.21297750708039478,0.21062417328357697,0.2638823688030243,0.4452037513256073,0.5086062550544739,0.4197995066642761,0.6184715032577515,0.465041846036911
12,5.807697296142578,0.3014655113220215,0.21353295866772048,0.21418829262256622,0.2716009020805359,0.45039036870002747,0.5132290720939636,0.4246552288532257,0.6287990212440491,0.47206637263298035
13,5.734810638427734,0.3066784739494324,0.21510724613174853,0.21247947216033936,0.27448225021362305,0.45607349276542664,0.5224746465682983,0.4321162700653076,0.637356162071228,0.479390412569046
14,5.6539264678955075,0.3201534152030945,0.21478544598887403,0.2149076908826828,0.2870885729789734,0.4678330719470978,0.5377200841903687,0.44652801752090454,0.6438477039337158,0.49020880460739136
15,5.5800628662109375,0.327038437128067,0.22459249335658843,0.22517526149749756,0.29118502140045166,0.4719249904155731,0.5393921136856079,0.4502527415752411,0.6466017365455627,0.49421417713165283
16,5.516909408569336,0.3301858901977539,0.22441819484131809,0.22476106882095337,0.2966236472129822,0.47512468695640564,0.5433264374732971,0.45406410098075867,0.6443395018577576,0.4956585168838501
17,5.43692626953125,0.33185794949531555,0.23883262466054636,0.2322673797607422,0.30039525032043457,0.47836846113204956,0.5512933731079102,0.4592418670654297,0.6534867286682129,0.501349687576294
18,5.355530548095703,0.3386446237564087,0.2370437641861219,0.23185205459594727,0.30414313077926636,0.48335376381874084,0.5560145378112793,0.4647276997566223,0.656830906867981,0.5061598420143127
19,5.309180450439453,0.3417920768260956,0.22570266138257272,0.22207579016685486,0.30883798003196716,0.4841470420360565,0.5498180389404297,0.4631001055240631,0.6508311033248901,0.5046765804290771
20,5.238176345825195,0.34641486406326294,0.23252801363260983,0.22739055752754211,0.3100094795227051,0.48880356550216675,0.5571948289871216,0.4692286252975464,0.6570276021957397,0.5105389356613159
21,5.174801635742187,0.35349661111831665,0.251014630411573,0.24588775634765625,0.32098373770713806,0.4927417039871216,0.5564079880714417,0.47184810042381287,0.6559457182884216,0.5127597451210022
22,5.112629318237305,0.3500540852546692,0.24791427592513782,0.23797503113746643,0.31819719076156616,0.4915284812450409,0.5592603087425232,0.47202950716018677,0.6592898368835449,0.5132391452789307
23,5.049073028564453,0.3518245220184326,0.24672390845514114,0.23930196464061737,0.3197614550590515,0.49257606267929077,0.5595554113388062,0.472817599773407,0.6592898368835449,0.513878583908081
24,4.978391647338867,0.35782432556152344,0.2564674564968568,0.24286580085754395,0.32587844133377075,0.4980294704437256,0.565555214881897,0.4789566695690155,0.6629290580749512,0.519207239151001
25,4.932071685791016,0.35359495878219604,0.24622891053980944,0.237127423286438,0.3243878185749054,0.4944228231906891,0.5632929801940918,0.4754299223423004,0.66312575340271,0.5165074467658997
26,4.863372039794922,0.36077505350112915,0.25474130751712465,0.24614682793617249,0.33122673630714417,0.49968335032463074,0.5663420557975769,0.4803256094455719,0.6670600771903992,0.5217498540878296
27,4.798378372192383,0.36205369234085083,0.26909850203418856,0.2560478150844574,0.33394038677215576,0.5006767511367798,0.5677191019058228,0.48151177167892456,0.6676502227783203,0.5226747393608093
28,4.7503814697265625,0.35949641466140747,0.263755748862577,0.24623525142669678,0.3296958804130554,0.49914368987083435,0.569686233997345,0.48131972551345825,0.6675518751144409,0.521700918674469
29,4.689734268188476,0.35998818278312683,0.2704645693688696,0.2529677748680115,0.33146005868911743,0.49898460507392883,0.5670305490493774,0.48025068640708923,0.6678469181060791,0.5216742753982544
30,4.629943466186523,0.358119398355484,0.2702698862197025,0.25165653228759766,0.33148109912872314,0.49808019399642944,0.5644732713699341,0.4781534969806671,0.6665682792663574,0.5202958583831787
31,4.569061279296875,0.35949641466140747,0.28400392445763417,0.2616184949874878,0.3333323299884796,0.49926692247390747,0.5659486651420593,0.4798372983932495,0.6679452657699585,0.5217389464378357
32,4.520088577270508,0.358512818813324,0.26899182904709795,0.24623414874076843,0.33292433619499207,0.49864310026168823,0.5640798211097717,0.478604257106781,0.6661748886108398,0.5206905603408813
33,4.463708877563477,0.36411920189857483,0.28742339731654304,0.2620750367641449,0.33751124143600464,0.5019612312316895,0.5673256516456604,0.48245081305503845,0.668928861618042,0.5241485834121704
34,4.415107727050781,0.36274218559265137,0.2897798412040978,0.26770901679992676,0.33708709478378296,0.5001056790351868,0.5653585195541382,0.4803924262523651,0.6660764813423157,0.5218726992607117
35,4.371942138671875,0.36087340116500854,0.28331304369578875,0.2598983943462372,0.3362000584602356,0.4987185597419739,0.5632929801940918,0.47860321402549744,0.664797842502594,0.5204223990440369
36,4.305712509155273,0.3590046167373657,0.29628540909862394,0.26656487584114075,0.33479729294776917,0.49734145402908325,0.5618176460266113,0.4769463539123535,0.665092945098877,0.5194719433784485
37,4.269419860839844,0.360578328371048,0.28372869231821496,0.26012101769447327,0.33699774742126465,0.4984281361103058,0.5628995895385742,0.4784030020236969,0.6643060445785522,0.5201409459114075
38,4.212263870239258,0.35998818278312683,0.2914417430120683,0.26176416873931885,0.3362804651260376,0.49802207946777344,0.5653585195541382,0.47910556197166443,0.6629290580749512,0.5192734599113464
39,4.176606750488281,0.3612668216228485,0.29516589687955985,0.26928871870040894,0.33867931365966797,0.49847880005836487,0.5624077916145325,0.4782179892063141,0.6642076969146729,0.5200996398925781
