Category,precision,recall,f1-score,support
Community,0.4422,0.5690,0.4977,659.0000
Entertainment,0.4863,0.4316,0.4573,329.0000
Food,0.5880,0.4819,0.5297,1795.0000
Nightlife,0.3664,0.3825,0.3743,251.0000
Outdoors,0.4872,0.4716,0.4793,282.0000
Shopping,0.5886,0.5263,0.5557,1389.0000
Travel,0.4299,0.6672,0.5229,574.0000
macro avg,0.4841,0.5043,0.4881,5279.0000
weighted avg,0.5305,0.5162,0.5172,5279.0000
