Category,Precision,Recall,F1-Score
Shopping,0.4735 ± 0.0554,0.1123 ± 0.0201,0.1807 ± 0.0276
Community,0.6331 ± 0.0769,0.0506 ± 0.0232,0.0926 ± 0.0399
Food,0.4191 ± 0.0030,0.9298 ± 0.0104,0.5777 ± 0.0022
Entertainment,0.7607 ± 0.0452,0.2932 ± 0.0790,0.4140 ± 0.0787
Travel,0.8619 ± 0.0176,0.5609 ± 0.0065,0.6795 ± 0.0094
Outdoors,0.7179 ± 0.0711,0.1367 ± 0.0269,0.2291 ± 0.0417
Nightlife,0.4524 ± 0.0272,0.1143 ± 0.0306,0.1812 ± 0.0397
