Category,Precision,Recall,F1-Score
Shopping,0.4156 ± 0.0071,0.5359 ± 0.0317,0.4678 ± 0.0139
Community,0.3874 ± 0.0121,0.2744 ± 0.0232,0.3206 ± 0.0169
Food,0.4043 ± 0.0024,0.4562 ± 0.0213,0.4284 ± 0.0089
Entertainment,0.4003 ± 0.0134,0.1658 ± 0.0110,0.2342 ± 0.0112
Travel,0.5577 ± 0.0126,0.7125 ± 0.0075,0.6256 ± 0.0101
Outdoors,0.3755 ± 0.0244,0.1304 ± 0.0301,0.1915 ± 0.0338
Nightlife,0.3714 ± 0.0208,0.0917 ± 0.0242,0.1459 ± 0.0330
