Category,precision,recall,f1-score,support
Community,54.24 ± 2.75,72.68 ± 1.23,62.10 ± 2.06,314460.00 ± 54.77
Entertainment,67.21 ± 1.71,70.11 ± 0.57,68.62 ± 1.00,277160.00 ± 54.77
Food,75.53 ± 0.51,59.69 ± 2.43,66.67 ± 1.61,785920.00 ± 44.72
Nightlife,40.23 ± 3.09,73.18 ± 1.28,51.87 ± 2.62,140960.00 ± 54.77
Outdoors,65.73 ± 1.80,72.48 ± 1.30,68.93 ± 1.53,221620.00 ± 44.72
Shopping,76.03 ± 1.01,69.69 ± 1.34,72.72 ± 0.99,670180.00 ± 44.72
Travel,83.53 ± 0.55,79.38 ± 0.45,81.40 ± 0.31,773200.00 ± 0.00
macro avg,66.07 ± 0.98,71.03 ± 0.91,67.47 ± 1.02,3183500.00 ± 70.71
