Category,precision,recall,f1-score,support
Unknown-583,41.36 ± 7.27,46.79 ± 12.69,43.70 ± 9.17,960.00 ± 313.05
Unknown-584,28.13 ± 12.60,30.19 ± 13.21,28.78 ± 12.54,3920.00 ± 1411.38
Unknown-585,26.67 ± 25.28,40.00 ± 41.83,31.33 ± 30.15,120.00 ± 109.54
Unknown-586,42.86 ± 7.59,39.66 ± 8.28,41.17 ± 7.90,5500.00 ± 2541.65
Unknown-587,34.62 ± 43.79,19.76 ± 20.16,23.59 ± 25.62,1120.00 ± 1839.02
Unknown-588,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 83.67
Unknown-589,30.69 ± 8.39,34.74 ± 24.10,30.46 ± 13.41,2200.00 ± 1079.35
Unknown-590,41.67 ± 50.00,18.75 ± 23.94,24.29 ± 28.90,275.00 ± 189.30
Unknown-591,5.36 ± 5.36,7.30 ± 7.84,6.01 ± 6.19,860.00 ± 634.82
Unknown-592,46.10 ± 34.85,37.60 ± 10.57,39.24 ± 19.96,680.00 ± 277.49
Unknown-593,18.33 ± 29.11,11.11 ± 15.71,13.59 ± 20.03,460.00 ± 391.15
Unknown-594,15.76 ± 22.00,23.33 ± 32.49,18.41 ± 25.24,340.00 ± 378.15
Unknown-595,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-596,14.00 ± 21.91,10.67 ± 15.35,12.00 ± 17.89,400.00 ± 254.95
Unknown-597,8.33 ± 16.67,2.27 ± 4.55,3.57 ± 7.14,400.00 ± 522.81
Unknown-598,37.87 ± 17.89,41.22 ± 14.21,39.21 ± 16.34,2680.00 ± 1040.19
Unknown-600,42.51 ± 19.71,39.89 ± 14.18,39.96 ± 16.96,2200.00 ± 2528.83
Unknown-601,17.39 ± 13.36,13.31 ± 8.67,14.72 ± 10.38,2260.00 ± 934.34
Unknown-602,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 230.22
Unknown-603,33.33 ± 42.49,16.86 ± 20.51,15.71 ± 14.42,500.00 ± 187.08
Unknown-604,27.55 ± 5.50,26.56 ± 6.97,26.88 ± 5.83,4280.00 ± 1169.19
Unknown-605,53.33 ± 44.72,30.71 ± 20.76,35.49 ± 23.95,380.00 ± 204.94
Unknown-606,20.41 ± 13.94,33.62 ± 20.84,25.02 ± 16.15,1180.00 ± 363.32
Unknown-607,13.38 ± 13.99,25.00 ± 25.98,17.23 ± 17.96,620.00 ± 277.49
Unknown-608,2.50 ± 5.59,6.67 ± 14.91,3.64 ± 8.13,200.00 ± 158.11
Unknown-610,2.86 ± 6.39,2.50 ± 5.59,2.67 ± 5.96,360.00 ± 251.00
Unknown-611,12.14 ± 10.80,26.94 ± 24.45,16.09 ± 14.23,700.00 ± 400.00
Unknown-612,39.12 ± 38.30,30.67 ± 21.27,31.26 ± 21.87,500.00 ± 339.12
Unknown-613,22.00 ± 43.82,10.67 ± 15.35,12.67 ± 21.65,280.00 ± 192.35
Unknown-614,46.38 ± 10.79,41.16 ± 14.94,43.39 ± 13.05,5260.00 ± 2994.66
Unknown-615,5.54 ± 5.94,5.24 ± 5.89,5.36 ± 5.89,1000.00 ± 663.32
Unknown-617,27.11 ± 18.23,20.14 ± 11.85,22.92 ± 14.15,1060.00 ± 350.71
Unknown-618,40.69 ± 15.66,24.77 ± 7.87,30.58 ± 9.90,840.00 ± 439.32
Unknown-619,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,100.00 ± 115.47
Unknown-620,19.00 ± 20.74,40.00 ± 41.83,23.71 ± 22.94,160.00 ± 114.02
Unknown-621,40.00 ± 54.77,28.00 ± 43.82,31.43 ± 45.62,240.00 ± 240.83
Unknown-622,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,675.00 ± 590.90
Unknown-623,31.93 ± 40.87,26.40 ± 25.20,26.99 ± 28.09,720.00 ± 1013.41
Unknown-624,28.39 ± 9.86,25.31 ± 11.03,25.26 ± 8.61,1280.00 ± 491.93
Unknown-625,28.43 ± 20.80,39.62 ± 23.39,32.66 ± 21.78,1640.00 ± 1375.86
Unknown-626,31.31 ± 16.37,37.89 ± 24.67,33.40 ± 19.43,880.00 ± 449.44
Unknown-628,48.33 ± 50.14,50.34 ± 50.01,49.23 ± 50.03,660.00 ± 1252.20
Unknown-629,4.58 ± 7.28,5.25 ± 8.68,4.89 ± 7.91,1100.00 ± 612.37
Unknown-630,21.67 ± 21.73,31.33 ± 41.74,22.89 ± 23.75,320.00 ± 228.04
Unknown-631,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-632,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 374.17
