Category,precision,recall,f1-score,support
Community,0.3618,0.4175,0.3877,26317.0000
Entertainment,0.3495,0.2216,0.2712,22045.0000
Food,0.4151,0.3503,0.3800,63652.0000
Nightlife,0.2433,0.2115,0.2263,11091.0000
Outdoors,0.2213,0.1735,0.1945,18148.0000
Shopping,0.4265,0.4830,0.4530,56727.0000
Travel,0.5952,0.7188,0.6512,56904.0000
macro avg,0.3732,0.3680,0.3663,254884.0000
weighted avg,0.4254,0.4393,0.4283,254884.0000
