Category,precision,recall,f1-score,support
Community,0.5585,0.7237,0.6305,3145.0000
Entertainment,0.7039,0.7280,0.7157,2772.0000
Food,0.7938,0.6377,0.7073,7859.0000
Nightlife,0.4658,0.7149,0.5641,1410.0000
Outdoors,0.6479,0.7383,0.6901,2216.0000
Shopping,0.7726,0.7325,0.7520,6702.0000
Travel,0.8548,0.8333,0.8439,7732.0000
macro avg,0.6853,0.7298,0.7005,31836.0000
weighted avg,0.7484,0.7319,0.7355,31836.0000
