Category,precision,recall,f1-score,support
Unknown-3166,5.00 ± 11.18,5.00 ± 11.18,5.00 ± 11.18,180.00 ± 130.38
Unknown-3167,66.67 ± 47.14,75.00 ± 35.36,58.33 ± 11.79,150.00 ± 70.71
Unknown-3168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3169,0.00,0.00,0.00,200.00
Unknown-3172,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 54.77
Unknown-3173,0.00,0.00,0.00,100.00
Unknown-3174,34.90 ± 27.61,54.22 ± 42.46,41.74 ± 32.72,600.00 ± 391.58
Unknown-3176,18.57 ± 25.56,20.71 ± 32.77,18.18 ± 25.71,340.00 ± 251.00
Unknown-3180,19.64 ± 24.31,29.17 ± 34.36,22.50 ± 26.30,150.00 ± 129.10
Unknown-3182,8.33 ± 16.67,8.33 ± 16.67,8.33 ± 16.67,125.00 ± 150.00
Unknown-3183,25.00 ± 28.87,20.83 ± 25.00,22.50 ± 26.30,150.00 ± 129.10
Unknown-3184,10.00 ± 14.91,16.67 ± 23.57,11.67 ± 16.24,160.00 ± 89.44
Unknown-3186,13.33 ± 29.81,20.00 ± 44.72,16.00 ± 35.78,280.00 ± 311.45
Unknown-3190,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-3191,39.17 ± 7.88,46.25 ± 36.83,37.08 ± 10.57,625.00 ± 607.59
Unknown-3193,40.00 ± 43.46,60.00 ± 54.77,46.00 ± 45.61,160.00 ± 54.77
Unknown-3195,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-3197,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 310.91
Unknown-3199,0.68 ± 1.35,25.00 ± 50.00,1.32 ± 2.63,100.00 ± 0.00
Unknown-3200,17.20 ± 29.80,10.88 ± 18.85,13.33 ± 23.09,1666.67 ± 2800.60
Unknown-3202,25.00 ± 50.00,12.50 ± 25.00,16.67 ± 33.33,175.00 ± 170.78
Unknown-3205,13.39 ± 15.53,50.00 ± 57.74,21.11 ± 24.44,100.00 ± 81.65
Unknown-3207,16.07 ± 23.60,11.11 ± 15.71,13.12 ± 18.86,325.00 ± 403.11
Unknown-3208,25.00 ± 50.00,12.50 ± 25.00,16.67 ± 33.33,100.00 ± 81.65
Unknown-3210,42.86 ± 51.51,44.44 ± 50.92,43.59 ± 51.22,266.67 ± 288.68
Unknown-3211,9.52 ± 8.75,50.00 ± 50.00,15.71 ± 14.42,180.00 ± 83.67
Unknown-3213,20.00 ± 44.72,5.00 ± 11.18,8.00 ± 17.89,300.00 ± 158.11
