,fold,Model,accuracy,macro avg,weighted avg
0,1,HAVANA,0.5877253843847702,0.5417069047556077,0.5763791967688175
1,2,HAVANA,0.5854533929519796,0.544149564196483,0.5777527849347799
2,3,HAVANA,0.5828493601274606,0.5371544423496964,0.5711356337872651
3,4,HAVANA,0.5873207585958781,0.5451462668197465,0.5781259161537962
4,5,HAVANA,0.5868325024412808,0.543364502815085,0.5766132958097768
