epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,loss_weight_next_region,loss_weight_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,-0.015508,0.632296,1.286077,3.046673,0.250000,0.750000,0.114337,32.168392,3.271173,3.271173,32.028465,1.077209,1.077209
2,-0.021325,0.133221,0.140548,3.314742,0.250000,0.750000,0.129081,32.300632,4.675964,1.542455,32.045589,1.557012,0.580062
3,-0.063548,0.021028,0.335990,3.260075,0.250000,0.750000,0.144121,32.382828,5.426448,0.907480,32.059353,1.851882,0.457219
4,-0.064365,0.007576,0.463011,3.376139,0.250000,0.750000,0.159703,32.433372,5.912035,0.620532,32.071114,2.095175,0.419687
5,0.030831,0.006074,0.238588,3.465592,0.250000,0.750000,0.175977,32.470104,6.230219,0.469654,32.078369,2.282385,0.432979
6,-0.055879,0.005424,0.120015,3.537737,0.250000,0.750000,0.192532,32.497623,6.452519,0.445960,32.086399,2.458122,0.435829
7,-0.036594,0.008787,0.536509,3.596757,0.250000,0.750000,0.208729,32.519268,6.608669,0.394821,32.095528,2.619123,0.410250
8,-0.016934,0.012155,0.263952,3.677605,0.250000,0.750000,0.224646,32.542130,6.728472,0.381589,32.107937,2.780139,0.403862
9,0.103330,0.019370,0.340508,3.772967,0.250000,0.750000,0.240400,32.567238,6.818157,0.355878,32.124355,2.938439,0.414718
10,-0.095669,0.013970,0.208616,3.846943,0.250000,0.750000,0.256793,32.602654,6.889833,0.358538,32.145313,3.101533,0.456877
11,-0.007879,0.014163,0.151548,3.899258,0.250000,0.750000,0.273514,32.649387,6.950153,0.368338,32.170727,3.267532,0.462920
12,-0.094152,0.014046,0.207174,3.900648,0.250000,0.750000,0.289991,32.715923,7.002167,0.366062,32.202557,3.435743,0.466396
13,-0.055145,0.005983,0.385068,3.939416,0.250000,0.750000,0.306260,32.815289,7.069504,0.464984,32.240795,3.603636,0.498592
14,0.009593,0.006858,0.988112,3.928472,0.250000,0.750000,0.321838,32.929893,7.156728,0.502393,32.280815,3.761925,0.448493
