Category,precision,recall,f1-score,support
Community,23.32,19.58,21.28,786200.00
Entertainment,57.30,67.03,61.79,1703000.00
Food,32.02,42.01,36.34,1964700.00
Nightlife,15.37,13.14,14.17,352400.00
Outdoors,15.32,9.30,11.57,580900.00
Shopping,34.79,28.62,31.40,1675500.00
Travel,36.76,28.59,32.17,896000.00
macro avg,30.70,29.75,29.82,7958700.00
