epoch,loss,accuracy,f1
1,1.8904480695724488,0.22037602235187553,0.09642259873338958
2,1.6661308526992797,0.3626358695652174,0.12312046512417645
3,1.5965077877044678,0.40061149629688836,0.1391104066966273
4,1.5398287534713746,0.43511637161658145,0.15977567479188606
5,1.4414894819259643,0.4853206754848679,0.223152561999177
6,1.3832676410675049,0.49790725903132993,0.2347167717220126
7,1.3515376329421998,0.5034784107257033,0.24640527356415465
8,1.2922250032424927,0.5254568947144075,0.33098356831198217
9,1.2553006887435914,0.5292316875799232,0.36960987671835077
10,1.2289273500442506,0.5259826399989344,0.39479824018031956
11,1.2047095537185668,0.5408010809622763,0.41110706997020197
12,1.1896329402923584,0.5369138127397698,0.41288717225793087
13,1.1742005586624145,0.541771815723572,0.424571247276639
14,1.1691134214401244,0.5357651654411765,0.4311155620569008
15,1.1632531881332397,0.5422321238277921,0.4409103691293443
16,1.155610942840576,0.5384684036658142,0.4428776250008896
17,1.1484082698822022,0.5374020939897698,0.44830568589581626
18,1.1404821872711182,0.5466636195918585,0.45115272268016077
19,1.1359474420547486,0.5456205376172207,0.4327368259360286
20,1.1293183803558349,0.5403719096334185,0.4458293883703369
21,1.1279558658599853,0.5417623248348252,0.4501407462860897
22,1.1220009565353393,0.5477394201566497,0.4450587816640243
23,1.1196462392807007,0.544158857496803,0.4415942123667171
24,1.1136386394500732,0.5497173546728474,0.4627059169451718
25,1.1154815435409546,0.551720098705243,0.45087111955036174
26,1.1066608428955078,0.5511853620524297,0.4549556195390987
27,1.1050629377365113,0.5481596001172208,0.4550164352581564
28,1.1063575506210328,0.5503296835038363,0.4420770292701417
29,1.1044545888900756,0.5500367147538363,0.4476594663983545
30,1.106138777732849,0.5453771878996163,0.4435266250627558
31,1.098705267906189,0.5489329410432651,0.4456394787742587
32,1.097371768951416,0.5534763293904519,0.45408676110542096
33,1.0948954820632935,0.5525462222932651,0.4599855801830211
34,1.085397219657898,0.5543071984228474,0.4552393744235742
35,1.0931897163391113,0.550771509351023,0.45483640331708364
36,1.0864894151687623,0.5538437266890452,0.45075974393481283
37,1.088068389892578,0.5526486239876386,0.45478866083210134
38,1.0897142171859742,0.5530624766890452,0.4513204685486252
39,1.0869941234588623,0.5557968516890452,0.4530470963205374
40,1.0867274522781372,0.5519185748348252,0.4534344244532346
41,1.085959553718567,0.5518969289482097,0.45813397940338857
42,1.0812317609786988,0.5568895526960784,0.46439876818453724
43,1.078906202316284,0.5567206315270673,0.46552630917242127
44,1.083794927597046,0.5597743666080562,0.4686016976938149
45,1.0813191175460815,0.553184942455243,0.4527751080361913
46,1.0780599594116211,0.559840886082694,0.4637058841627456
47,1.0801180601119995,0.5555350197144076,0.46291171301669654
48,1.0794832229614257,0.5579732623348252,0.46486427435365163
49,1.0821890115737915,0.5543430806425832,0.46086183443716894
50,1.0826138734817505,0.5519882579390452,0.45888934933876274
