Category,precision,recall,f1-score,support
Community,43.16 ± 2.43,52.44 ± 5.22,47.17 ± 1.69,43860.00 ± 54.77
Entertainment,36.17 ± 4.18,51.25 ± 3.33,42.32 ± 3.65,16740.00 ± 54.77
Food,54.96 ± 1.22,29.53 ± 4.09,38.30 ± 3.45,86900.00 ± 0.00
Nightlife,30.03 ± 1.62,61.15 ± 3.14,40.23 ± 1.48,9060.00 ± 54.77
Outdoors,32.89 ± 3.48,49.85 ± 6.24,39.38 ± 3.13,14240.00 ± 54.77
Shopping,48.70 ± 2.33,47.51 ± 5.58,47.93 ± 2.90,65760.00 ± 54.77
Travel,40.80 ± 4.22,57.88 ± 4.49,47.57 ± 1.72,17620.00 ± 44.72
macro avg,40.96 ± 1.07,49.94 ± 1.28,43.27 ± 1.18,254180.00 ± 44.72
