Category,precision,recall,f1-score,support
Unknown-577,31.67 ± 40.99,10.50 ± 10.06,15.00 ± 14.91,580.00 ± 408.66
Unknown-579,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,25.00 ± 50.00
Unknown-580,0.00,0.00,0.00,200.00
Unknown-581,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 282.84
Unknown-583,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 125.83
Unknown-585,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 194.94
Unknown-586,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-587,30.00 ± 29.81,28.10 ± 27.06,28.97 ± 28.29,360.00 ± 194.94
Unknown-588,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-589,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 937.02
Unknown-591,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 739.59
Unknown-593,1.43 ± 3.19,2.00 ± 4.47,1.67 ± 3.73,460.00 ± 343.51
Unknown-595,14.57 ± 20.21,42.50 ± 39.13,17.77 ± 19.35,300.00 ± 316.23
Unknown-596,27.49 ± 24.70,27.09 ± 24.38,26.65 ± 23.06,1400.00 ± 1002.50
Unknown-597,26.11 ± 42.14,17.33 ± 16.73,14.87 ± 14.89,380.00 ± 268.33
Unknown-598,20.47 ± 12.91,18.00 ± 12.16,18.84 ± 12.10,1380.00 ± 571.84
Unknown-599,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 383.41
Unknown-600,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-602,3.33 ± 7.45,1.82 ± 4.07,2.35 ± 5.26,1660.00 ± 991.46
Unknown-603,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-604,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-605,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-606,30.00 ± 27.39,46.67 ± 50.55,34.67 ± 33.47,100.00 ± 122.47
Unknown-607,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-609,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 109.54
Unknown-610,4.00 ± 8.94,2.86 ± 6.39,3.33 ± 7.45,380.00 ± 277.49
Unknown-611,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 125.83
Unknown-614,31.67 ± 40.99,35.71 ± 41.65,33.33 ± 41.10,260.00 ± 251.00
Unknown-616,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 433.59
Unknown-617,15.24 ± 17.79,18.35 ± 20.55,16.56 ± 19.03,820.00 ± 852.64
Unknown-618,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-619,6.67 ± 14.91,5.00 ± 11.18,5.71 ± 12.78,400.00 ± 158.11
Unknown-621,9.00 ± 12.45,20.00 ± 27.39,12.38 ± 17.04,140.00 ± 54.77
Unknown-622,14.00 ± 12.94,19.52 ± 21.85,15.71 ± 15.58,400.00 ± 273.86
Unknown-624,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-625,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 173.21
Unknown-627,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-629,8.33 ± 16.67,5.00 ± 10.00,6.25 ± 12.50,425.00 ± 464.58
Unknown-630,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-631,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 151.66
Unknown-632,15.00 ± 22.36,22.86 ± 43.57,12.44 ± 18.16,200.00 ± 282.84
Unknown-633,39.04 ± 20.96,40.20 ± 10.57,38.34 ± 14.11,820.00 ± 443.85
Unknown-634,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 170.78
Unknown-635,1.11 ± 2.48,20.00 ± 44.72,2.11 ± 4.71,140.00 ± 260.77
Unknown-636,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-637,50.00 ± 57.74,22.92 ± 31.46,30.00 ± 38.30,300.00 ± 81.65
Unknown-638,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 173.21
Unknown-639,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-640,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,120.00 ± 83.67
Unknown-641,30.83 ± 21.67,53.33 ± 45.22,38.33 ± 29.00,250.00 ± 191.49
Unknown-642,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 83.67
Unknown-643,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-644,26.67 ± 43.46,40.00 ± 54.77,30.00 ± 44.72,180.00 ± 238.75
Unknown-645,39.22 ± 36.74,27.38 ± 18.05,29.28 ± 18.37,500.00 ± 353.55
Unknown-647,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-650,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-653,14.67 ± 18.46,27.33 ± 30.04,18.81 ± 22.98,300.00 ± 158.11
Unknown-654,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 402.49
Unknown-655,26.76 ± 27.78,35.00 ± 33.54,29.78 ± 29.79,400.00 ± 353.55
Unknown-657,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-658,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 238.05
Unknown-659,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-660,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,180.00 ± 164.32
Unknown-661,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-662,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 353.55
Unknown-663,18.89 ± 22.08,15.83 ± 16.77,17.02 ± 18.72,780.00 ± 294.96
Unknown-664,51.60 ± 23.56,76.06 ± 22.74,57.61 ± 18.02,440.00 ± 384.71
Unknown-665,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-666,6.67 ± 14.91,5.00 ± 11.18,5.71 ± 12.78,200.00 ± 158.11
Unknown-668,0.00,0.00,0.00,100.00
Unknown-669,2.86 ± 6.39,6.67 ± 14.91,4.00 ± 8.94,460.00 ± 585.66
Unknown-670,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-673,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-674,2.50 ± 5.59,1.67 ± 3.73,2.00 ± 4.47,620.00 ± 408.66
Unknown-676,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-677,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-680,29.50 ± 13.74,32.66 ± 8.40,29.76 ± 10.02,900.00 ± 316.23
Unknown-682,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 687.99
Unknown-684,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 44.72
Unknown-685,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 151.66
Unknown-686,60.00 ± 54.77,36.67 ± 41.50,43.33 ± 43.46,120.00 ± 130.38
Unknown-687,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-688,40.00 ± 54.77,40.00 ± 54.77,40.00 ± 54.77,80.00 ± 44.72
Unknown-689,1.54 ± 3.44,2.00 ± 4.47,1.74 ± 3.89,360.00 ± 391.15
Unknown-690,10.46 ± 14.77,19.09 ± 26.19,13.33 ± 18.44,660.00 ± 357.77
Unknown-693,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 122.47
Unknown-694,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,140.00 ± 114.02
Unknown-696,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-697,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-698,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,25.00 ± 50.00
Unknown-699,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 114.02
Unknown-701,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 216.79
Unknown-702,85.28 ± 10.86,89.92 ± 6.46,87.21 ± 6.69,820.00 ± 238.75
Unknown-703,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-705,32.00 ± 46.04,20.00 ± 32.60,21.33 ± 30.70,220.00 ± 178.89
Unknown-707,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 167.33
Unknown-708,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-710,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,466.67 ± 723.42
Unknown-711,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 130.38
Unknown-712,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 435.89
Unknown-713,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-714,29.00 ± 41.29,20.00 ± 18.26,20.71 ± 21.19,460.00 ± 181.66
Unknown-718,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-719,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-720,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-721,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 249.00
Unknown-722,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-724,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-725,35.00 ± 41.83,30.00 ± 27.39,30.00 ± 29.81,160.00 ± 54.77
Unknown-726,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-727,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-729,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 432.43
Unknown-730,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 208.17
Unknown-731,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 167.33
Unknown-732,39.24 ± 25.74,39.76 ± 27.06,39.17 ± 26.02,1100.00 ± 946.04
Unknown-733,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-736,31.67 ± 24.57,39.88 ± 28.40,33.61 ± 22.78,300.00 ± 294.39
Unknown-737,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 95.74
Unknown-738,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 350.00
Unknown-739,2.22 ± 4.97,10.00 ± 22.36,3.64 ± 8.13,240.00 ± 114.02
Unknown-740,33.20 ± 24.70,48.69 ± 35.64,38.78 ± 27.91,1260.00 ± 1114.90
Unknown-741,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,280.00 ± 192.35
Unknown-742,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 109.54
Unknown-745,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 216.79
Unknown-746,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,200.00 ± 122.47
Unknown-747,0.00,0.00,0.00,100.00
Unknown-748,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 115.47
Unknown-749,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-750,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-751,5.00 ± 11.18,6.67 ± 14.91,5.71 ± 12.78,420.00 ± 228.04
Unknown-752,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-753,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 207.36
Unknown-754,4.67 ± 7.30,4.52 ± 6.54,4.56 ± 6.85,700.00 ± 430.12
Unknown-755,29.88 ± 18.50,56.67 ± 43.46,38.06 ± 24.93,400.00 ± 234.52
Unknown-756,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 334.66
Unknown-758,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 296.65
