epoch,grad_cosine_shared,grad_norm_next_region_shared,grad_norm_next_category_shared,loss_ratio_next_region_to_next_category,head_alpha,reg_encoder_l2norm,reg_encoder_drift_from_init,reg_encoder_step_drift,cat_encoder_l2norm,cat_encoder_drift_from_init,cat_encoder_step_drift
1,0.011838,0.833662,1.681299,4.532091,0.193148,32.496487,6.828179,6.828179,32.116161,3.144571,3.144571
2,-0.005323,0.033956,0.257992,5.570315,0.284417,32.295860,7.146859,1.103287,32.249268,4.546529,2.770984
3,-0.052890,0.015451,0.180120,5.992654,0.371785,32.041553,7.142938,0.947328,32.381260,5.619138,2.528695
4,0.018003,0.006417,0.237688,6.290165,0.453485,31.782387,7.127755,0.292211,32.454422,6.360366,1.967889
5,0.009915,0.001604,0.196764,6.315007,0.527944,31.546652,7.121624,0.294374,32.483932,6.891494,1.776185
6,0.010809,0.005795,0.163902,6.217448,0.593942,31.341543,7.128136,0.287349,32.521507,7.341127,1.748667
7,0.002750,0.005799,0.156929,6.169309,0.650614,31.165247,7.143933,0.278113,32.526684,7.584717,1.229379
8,0.000258,0.003407,0.156627,6.112477,0.697533,31.023520,7.160790,0.231441,32.525745,7.767478,0.999996
9,0.012291,0.014860,0.195941,6.076147,0.734328,30.938070,7.200854,1.083431,32.519947,7.897832,0.824139
10,0.007364,0.003869,0.136073,6.067348,0.762185,30.851595,7.204963,0.088304,32.511658,7.983361,0.639083
11,0.002248,0.002788,0.163292,6.047752,0.781579,30.791092,7.208317,0.062640,32.504578,8.035788,0.472796
12,-0.002292,0.003944,0.130117,6.056209,0.793698,30.752764,7.211152,0.041336,32.499729,8.066354,0.323255
13,-0.001224,0.003046,0.136412,6.062922,0.800067,30.732719,7.212649,0.021670,32.496246,8.079186,0.168264
14,0.004376,0.010040,0.134462,6.097870,0.802455,30.725191,7.213172,0.008574,32.494648,8.082788,0.073963
15,0.009951,0.004427,0.127261,6.107969,0.802800,30.724087,7.213232,0.001299,32.494389,8.083291,0.012803
