Category,precision,recall,f1-score,support
Community,56.07 ± 2.04,74.50 ± 2.29,63.97 ± 1.90,314460.00 ± 54.77
Entertainment,70.60 ± 2.47,72.20 ± 1.31,71.36 ± 1.20,277160.00 ± 54.77
Food,77.85 ± 1.51,65.61 ± 1.68,71.20 ± 1.20,785920.00 ± 44.72
Nightlife,46.83 ± 2.83,70.30 ± 0.96,56.19 ± 2.34,140960.00 ± 54.77
Outdoors,68.20 ± 1.96,74.52 ± 2.15,71.19 ± 1.26,221620.00 ± 44.72
Shopping,78.93 ± 1.46,71.99 ± 1.70,75.29 ± 1.03,670180.00 ± 44.72
Travel,85.23 ± 0.26,83.02 ± 0.71,84.11 ± 0.31,773200.00 ± 0.00
macro avg,69.10 ± 0.81,73.16 ± 0.98,70.47 ± 0.94,3183500.00 ± 70.71
