Category,precision,recall,f1-score,support
Community,0.4695,0.6297,0.5379,659.0000
Entertainment,0.3333,0.4485,0.3824,330.0000
Food,0.5516,0.3276,0.4110,1795.0000
Nightlife,0.2975,0.5640,0.3895,250.0000
Outdoors,0.3201,0.6254,0.4234,283.0000
Shopping,0.5373,0.4716,0.5023,1389.0000
Travel,0.5078,0.5662,0.5354,574.0000
macro avg,0.4310,0.5190,0.4546,5280.0000
weighted avg,0.4947,0.4638,0.4623,5280.0000
