Category,precision,recall,f1-score,support
Community,30.04 ± 1.08,41.92 ± 3.49,34.90 ± 0.61,320160.00 ± 54.77
Entertainment,28.63 ± 2.85,24.16 ± 2.16,26.06 ± 1.01,255180.00 ± 44.72
Food,39.87 ± 1.48,19.94 ± 3.75,26.35 ± 2.97,754420.00 ± 44.72
Nightlife,15.27 ± 0.67,38.35 ± 3.11,21.79 ± 0.30,132720.00 ± 44.72
Outdoors,19.50 ± 2.08,27.07 ± 3.40,22.45 ± 0.81,221800.00 ± 0.00
Shopping,43.47 ± 1.08,41.05 ± 2.33,42.18 ± 1.13,667020.00 ± 44.72
Travel,63.21 ± 0.67,65.52 ± 2.25,64.32 ± 0.88,726960.00 ± 54.77
macro avg,34.28 ± 0.28,36.86 ± 0.34,34.01 ± 0.44,3078260.00 ± 54.77
