Category,precision,recall,f1-score,support
Community,56.44 ± 3.03,74.29 ± 2.56,64.09 ± 2.16,314460.00 ± 54.77
Entertainment,70.49 ± 1.74,72.20 ± 0.84,71.33 ± 1.00,277160.00 ± 54.77
Food,77.98 ± 1.27,65.71 ± 1.27,71.32 ± 1.21,785920.00 ± 44.72
Nightlife,47.01 ± 3.45,70.05 ± 0.79,56.21 ± 2.47,140960.00 ± 54.77
Outdoors,67.55 ± 0.80,74.86 ± 2.08,71.01 ± 1.26,221620.00 ± 44.72
Shopping,78.49 ± 1.37,72.52 ± 1.60,75.37 ± 0.94,670180.00 ± 44.72
Travel,85.67 ± 0.13,82.71 ± 0.37,84.16 ± 0.22,773200.00 ± 0.00
macro avg,69.09 ± 0.76,73.19 ± 0.90,70.50 ± 0.87,3183500.00 ± 70.71
