Category,precision,recall,f1-score,support
Unknown-2696,10.00 ± 22.36,2.50 ± 5.59,4.00 ± 8.94,640.00 ± 181.66
Unknown-2697,5.00 ± 11.18,20.00 ± 44.72,8.00 ± 17.89,120.00 ± 44.72
Unknown-2699,22.50 ± 22.36,23.64 ± 25.19,22.78 ± 23.37,480.00 ± 408.66
Unknown-2704,25.00 ± 50.00,6.25 ± 12.50,10.00 ± 20.00,200.00 ± 141.42
Unknown-2706,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,125.00 ± 50.00
Unknown-2707,0.36 ± 0.71,1.92 ± 3.85,0.60 ± 1.20,575.00 ± 629.15
Unknown-2708,20.83 ± 26.02,30.16 ± 28.70,23.84 ± 27.11,400.00 ± 264.58
Unknown-2709,2.73 ± 3.21,25.00 ± 28.87,4.91 ± 5.76,475.00 ± 359.40
Unknown-2711,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,25.00 ± 50.00
Unknown-2712,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 100.00
Unknown-2714,25.00 ± 43.30,30.00 ± 44.72,26.67 ± 43.46,100.00 ± 100.00
Unknown-2715,13.33 ± 29.81,5.00 ± 11.18,7.27 ± 16.26,260.00 ± 320.94
Unknown-2716,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-2717,55.32 ± 37.30,53.52 ± 30.43,53.30 ± 31.81,880.00 ± 1023.23
Unknown-2718,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 260.77
Unknown-2720,37.50 ± 47.87,37.50 ± 47.87,37.50 ± 47.87,200.00 ± 81.65
Unknown-2722,47.82 ± 14.64,48.03 ± 25.51,45.73 ± 18.06,1200.00 ± 851.47
Unknown-2724,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 282.84
Unknown-2726,58.33 ± 52.04,50.00 ± 50.00,50.79 ± 45.01,333.33 ± 152.75
Unknown-2728,19.44 ± 32.51,40.00 ± 54.77,24.42 ± 37.71,140.00 ± 114.02
Unknown-2729,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 565.69
Unknown-2730,42.00 ± 42.66,45.33 ± 44.07,43.43 ± 43.11,380.00 ± 258.84
Unknown-2731,40.00 ± 35.53,66.81 ± 41.13,43.38 ± 30.26,720.00 ± 1118.93
Unknown-2732,23.33 ± 43.46,30.00 ± 44.72,25.00 ± 43.30,100.00 ± 70.71
Unknown-2733,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,100.00 ± 70.71
Unknown-2734,6.67 ± 14.91,4.00 ± 8.94,5.00 ± 11.18,280.00 ± 277.49
Unknown-2735,5.64 ± 8.24,9.44 ± 12.97,6.86 ± 9.60,340.00 ± 336.15
Unknown-2736,33.33 ± 57.74,11.11 ± 19.25,16.67 ± 28.87,100.00 ± 173.21
Unknown-2738,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,125.00 ± 95.74
Unknown-2739,35.71 ± 47.38,37.50 ± 47.87,36.54 ± 47.57,250.00 ± 238.05
Unknown-2740,15.71 ± 22.81,26.67 ± 43.46,19.49 ± 29.55,200.00 ± 234.52
Unknown-2741,10.00 ± 11.55,17.50 ± 23.63,12.14 ± 14.45,300.00 ± 216.02
Unknown-2743,8.33 ± 16.67,12.50 ± 25.00,10.00 ± 20.00,150.00 ± 57.74
Unknown-2746,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 54.77
Unknown-2747,23.24 ± 21.49,32.48 ± 31.81,26.90 ± 25.36,500.00 ± 524.40
Unknown-2749,35.78 ± 29.91,35.00 ± 38.37,33.05 ± 31.12,640.00 ± 669.33
Unknown-2751,11.03 ± 12.77,11.17 ± 13.51,11.01 ± 12.95,900.00 ± 1045.63
Unknown-2753,12.15 ± 16.52,31.90 ± 41.91,17.53 ± 23.66,340.00 ± 288.10
Unknown-2754,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2755,17.50 ± 23.63,37.50 ± 47.87,20.83 ± 25.00,200.00 ± 81.65
Unknown-2757,32.13 ± 18.70,65.00 ± 23.80,40.14 ± 14.08,400.00 ± 316.23
