Category,precision,recall,f1-score,support
Community,54.95 ± 1.12,59.49 ± 2.13,57.10 ± 0.53,582880.00 ± 44.72
Entertainment,49.87 ± 1.94,44.26 ± 3.45,46.78 ± 1.48,242000.00 ± 0.00
Food,55.19 ± 1.86,53.23 ± 4.21,54.06 ± 1.35,759420.00 ± 44.72
Nightlife,35.14 ± 1.09,35.96 ± 3.22,35.48 ± 1.87,99120.00 ± 44.72
Outdoors,47.71 ± 4.44,46.08 ± 6.07,46.44 ± 1.60,228000.00 ± 0.00
Shopping,61.80 ± 1.25,63.62 ± 2.98,62.65 ± 0.95,1021060.00 ± 54.77
Travel,43.63 ± 2.03,36.84 ± 1.94,39.91 ± 1.56,171680.00 ± 44.72
macro avg,49.76 ± 0.59,48.50 ± 0.91,48.92 ± 0.43,3104160.00 ± 54.77
