Category,precision,recall,f1-score,support
Community,0.4222,0.6492,0.5117,439.0000
Entertainment,0.3796,0.5536,0.4504,168.0000
Food,0.5948,0.2635,0.3652,869.0000
Nightlife,0.3394,0.6154,0.4375,91.0000
Outdoors,0.3161,0.4296,0.3642,142.0000
Shopping,0.5244,0.5236,0.5240,657.0000
Travel,0.4081,0.5170,0.4561,176.0000
macro avg,0.4264,0.5074,0.4442,2542.0000
weighted avg,0.4949,0.4559,0.4460,2542.0000
