Category,precision,recall,f1-score,support
Community,54.10 ± 0.60,73.38 ± 2.21,62.28 ± 1.04,314460.00 ± 54.77
Entertainment,68.23 ± 0.94,70.81 ± 0.91,69.49 ± 0.58,277160.00 ± 54.77
Food,75.32 ± 0.74,62.93 ± 1.82,68.56 ± 1.16,785920.00 ± 44.72
Nightlife,43.50 ± 2.45,70.84 ± 1.82,53.87 ± 2.01,140960.00 ± 54.77
Outdoors,65.09 ± 1.48,73.10 ± 1.52,68.85 ± 1.30,221620.00 ± 44.72
Shopping,78.24 ± 2.04,68.71 ± 1.00,73.14 ± 0.62,670180.00 ± 44.72
Travel,83.92 ± 0.57,80.80 ± 0.68,82.33 ± 0.41,773200.00 ± 0.00
macro avg,66.91 ± 0.61,71.51 ± 0.74,68.36 ± 0.66,3183500.00 ± 70.71
