Category,precision,recall,f1-score,support
Unknown-235,1.25 ± 2.80,1.67 ± 3.73,1.43 ± 3.19,500.00 ± 479.58
Unknown-236,25.71 ± 43.33,33.33 ± 47.14,28.00 ± 43.82,200.00 ± 200.00
Unknown-238,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-240,29.30 ± 21.74,25.22 ± 18.86,26.34 ± 18.74,1020.00 ± 1451.55
Unknown-241,4.38 ± 6.14,6.37 ± 8.91,5.19 ± 7.27,2120.00 ± 460.43
Unknown-243,19.87 ± 15.09,22.20 ± 15.19,20.10 ± 13.65,880.00 ± 535.72
Unknown-244,7.08 ± 8.01,22.04 ± 26.69,9.83 ± 10.79,900.00 ± 796.87
Unknown-245,14.58 ± 17.18,37.50 ± 47.87,20.83 ± 25.00,175.00 ± 125.83
Unknown-248,42.86 ± 51.51,50.00 ± 50.00,45.45 ± 50.62,266.67 ± 115.47
Unknown-249,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 109.54
Unknown-250,11.78 ± 10.93,16.67 ± 20.79,12.30 ± 11.90,720.00 ± 408.66
Unknown-251,6.79 ± 9.81,11.90 ± 18.75,8.57 ± 12.78,720.00 ± 286.36
Unknown-252,2.86 ± 6.39,4.00 ± 8.94,3.33 ± 7.45,160.00 ± 194.94
Unknown-253,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 240.83
Unknown-254,0.69 ± 1.54,0.95 ± 2.13,0.80 ± 1.79,1440.00 ± 746.99
Unknown-255,32.33 ± 16.88,31.84 ± 23.37,31.51 ± 20.37,2380.00 ± 1179.83
Unknown-256,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 230.94
Unknown-257,30.62 ± 8.38,30.23 ± 7.41,30.31 ± 7.60,2540.00 ± 746.99
Unknown-258,16.19 ± 28.89,23.81 ± 37.50,19.00 ± 32.48,240.00 ± 279.28
Unknown-259,49.99 ± 18.33,46.23 ± 15.54,47.47 ± 15.97,940.00 ± 594.14
Unknown-260,39.67 ± 28.49,26.11 ± 24.66,27.94 ± 18.91,600.00 ± 254.95
