Category,Precision,Recall,F1-Score
Shopping,0.4310 ± 0.0064,0.4928 ± 0.0245,0.4596 ± 0.0131
Community,0.4028 ± 0.0062,0.3296 ± 0.0170,0.3623 ± 0.0111
Food,0.4246 ± 0.0033,0.6141 ± 0.0199,0.5019 ± 0.0072
Entertainment,0.4228 ± 0.0142,0.1976 ± 0.0168,0.2691 ± 0.0173
Travel,0.3734 ± 0.0304,0.1552 ± 0.0165,0.2190 ± 0.0206
Outdoors,0.3723 ± 0.0165,0.1744 ± 0.0167,0.2371 ± 0.0169
Nightlife,0.3868 ± 0.0146,0.2000 ± 0.0241,0.2629 ± 0.0222
