Category,precision,recall,f1-score,support
Community,0.5381,0.5238,0.5309,4282.0000
Entertainment,0.4221,0.3908,0.4059,1878.0000
Food,0.6016,0.6197,0.6106,11261.0000
Nightlife,0.3374,0.1995,0.2507,1108.0000
Outdoors,0.5328,0.4883,0.5096,2429.0000
Shopping,0.5828,0.6359,0.6082,10476.0000
Travel,0.4230,0.3295,0.3704,1742.0000
macro avg,0.4911,0.4554,0.4695,33176.0000
weighted avg,0.5541,0.5606,0.5559,33176.0000
