epoch,loss,accuracy,accuracy_macro,f1,f1_weighted,mrr,top3_acc,ndcg_3,top5_acc,ndcg_5
1,8.649651421440971,7.067692786222324e-05,9.535579683732203e-05,1.1904347957170103e-05,2.6800778869073838e-05,0.0013372660614550114,0.0001884718076325953,0.00013967000995762646,0.0004083555832039565,0.0002272010751767084
2,8.632250589037698,3.1411967938765883e-05,7.273239460540817e-05,5.552181505663611e-07,1.5872938092797995e-05,0.0012407329631969333,0.00014135385572444648,9.255205077352002e-05,0.00024344274424947798,0.0001344544580206275
3,8.53911384703621,7.852991984691471e-06,6.316321374431532e-05,4.933180974830975e-08,6.133353380732842e-09,0.0010003007482737303,1.5705983969382942e-05,1.1779487977037206e-05,3.9264959923457354e-05,2.1581639884971082e-05
4,8.44988529265873,1.5705983969382942e-05,0.00021054405585390682,2.1519451820495306e-07,1.7039335276081147e-08,0.0009463092428632081,4.7117951908148825e-05,3.4496537409722805e-05,0.00010208889580098912,5.6794644478941336e-05
5,8.409038240947421,3.9264959923457354e-05,0.0005090051782525648,5.121819413034245e-07,3.961537231589318e-08,0.0010304413735866547,7.067692786222324e-05,5.702732232748531e-05,0.00011779487977037206,7.663162250537425e-05
6,8.383101205977182,0.0,0.0,0.0,0.0,0.0008708019740879536,3.9264959923457354e-05,2.0660669179051183e-05,5.4970943892840296e-05,2.7080721338279545e-05
7,8.358664860801092,2.3558975954074413e-05,0.00018259911539579896,3.1949336971592857e-06,6.418805469365907e-07,0.0011246096109971404,4.7117951908148825e-05,3.636665496742353e-05,8.638291183160618e-05,5.258885721559636e-05
8,8.350725446428571,2.3558975954074413e-05,0.00025176233635448137,1.3807135701426887e-07,1.2920200020971606e-08,0.0009418266708962619,4.7117951908148825e-05,3.739484236575663e-05,8.638291183160618e-05,5.3272899094736204e-05
9,8.343718029203869,1.5705983969382942e-05,0.0005053057099545225,4.6025792244108743e-07,1.4305801876446367e-08,0.0010019047185778618,3.1411967938765883e-05,2.458716517139692e-05,5.4970943892840296e-05,3.438931526034139e-05
10,8.340020073784721,3.1411967938765883e-05,0.00029911773261426374,1.206708748213714e-05,1.671994323260151e-05,0.0011238130973652005,6.282393587753177e-05,4.7117951908148825e-05,9.423590381629765e-05,5.9958059864584357e-05
11,8.336155482700892,1.5705983969382942e-05,2.9766571648257016e-05,1.341509232588578e-05,5.245925876806723e-06,0.0010040175402536988,4.7117951908148825e-05,3.244015897507779e-05,7.852991984691471e-05,4.596855433192104e-05
12,8.333747984871032,0.0,0.0,0.0,0.0,0.0010258142137899995,7.067692786222324e-05,3.945122443838045e-05,0.00011779487977037206,5.939967741142027e-05
13,8.3313230484251,7.852991984691471e-06,8.421762083563436e-05,6.193990031988506e-08,5.775674161156985e-09,0.0009425905882380903,2.3558975954074413e-05,1.6734173186705448e-05,7.852991984691471e-05,3.8688132917741314e-05
14,8.324920169890873,0.0,0.0,0.0,0.0,0.0012652924051508307,3.9264959923457354e-05,2.0660669179051183e-05,9.423590381629765e-05,4.2958781705237925e-05
15,8.324075365823413,7.852991984691471e-06,8.421762083563436e-05,9.610226925360621e-08,8.961192676792962e-09,0.0007942176889628172,3.9264959923457354e-05,2.5615356207708828e-05,6.282393587753177e-05,3.576165545382537e-05
16,8.321333627852182,1.5705983969382942e-05,0.00037897928246589187,5.612048781244994e-08,3.1367195507669976e-09,0.0009628268308006227,6.282393587753177e-05,4.1321338358102366e-05,7.852991984691471e-05,4.80855414934922e-05
17,8.320513044084821,1.5705983969382942e-05,0.00026949639269774345,2.0971744163489348e-07,6.854492085039965e-08,0.001151427743025124,4.7117951908148825e-05,3.244015897507779e-05,0.00011779487977037206,6.081417086534202e-05
18,8.320206899491568,7.852991984691471e-06,1.2031088556347018e-05,1.6843525372678414e-05,1.0994190233759582e-05,0.0008864159462973475,2.3558975954074413e-05,1.5705983969382942e-05,8.638291183160618e-05,4.138619260629639e-05
19,8.317908877418155,0.0,0.0,0.0,0.0,0.0012997169978916645,0.0,0.0,3.1411967938765883e-05,1.6222202248172835e-05
20,8.317994132874505,0.0,0.0,0.0,0.0,0.0008046613656915724,2.3558975954074413e-05,1.3835868230671622e-05,3.1411967938765883e-05,1.6873818822205067e-05
21,8.314644949776786,3.1411967938765883e-05,0.0004800404184330829,2.288452606080682e-06,2.839977071289468e-07,0.000962881138548255,6.282393587753177e-05,5.0202525017084554e-05,6.282393587753177e-05,5.0202525017084554e-05
22,8.315132262214782,7.852991984691471e-06,0.00025265285497726126,1.2516240488480435e-08,3.8903158472436417e-10,0.0008151297806762159,1.5705983969382942e-05,1.6734173186705448e-05,5.4970943892840296e-05,2.9230128347990103e-05
23,8.312836177765377,7.852991984691471e-06,8.421762083563436e-05,1.948730101730689e-07,1.8171212090578592e-08,0.0010226282756775618,5.4970943892840296e-05,3.4496537409722805e-05,0.00010208889580098912,5.3412546549225226e-05
24,8.312113444010416,1.5705983969382942e-05,0.0002842344618494189,5.117207706462068e-07,3.539516413297861e-08,0.001036156085319817,5.4970943892840296e-05,3.842303340206854e-05,0.00012564787175506353,7.052329601719975e-05
25,8.311915806361608,2.3558975954074413e-05,0.00033687048334253745,6.56436782264791e-07,4.267290876214247e-08,0.0008636332931928337,7.067692786222324e-05,4.917433034279384e-05,0.00010208889580098912,6.505239434773102e-05
26,8.309344579303076,0.0,0.0,0.0,0.0,0.000899750622920692,3.9264959923457354e-05,2.0660669179051183e-05,6.282393587753177e-05,3.046282108698506e-05
27,8.30854724702381,3.1411967938765883e-05,0.00017685699547222614,3.119450866506668e-07,5.615693510208075e-08,0.0008844570838846266,5.4970943892840296e-05,4.524783798842691e-05,7.067692786222324e-05,5.2012037485837936e-05
28,8.307778010292658,1.5705983969382942e-05,0.00011369378172791082,9.497125574853271e-08,1.2941728577686717e-08,0.0008837870554998517,4.7117951908148825e-05,3.3468346373410895e-05,8.638291183160618e-05,4.9346406740369275e-05
29,8.307985336061508,0.0,0.0,0.0,0.0,0.0007298369309864938,3.1411967938765883e-05,1.7762364223017357e-05,3.9264959923457354e-05,2.114446397172287e-05
30,8.308177160838294,7.852991984691471e-06,0.00025265285497726126,3.638695744712095e-08,1.1309846392748568e-09,0.0009546783403493464,2.3558975954074413e-05,1.7762364223017357e-05,4.7117951908148825e-05,2.79086634691339e-05
31,8.3067869156126,0.0,0.0,0.0,0.0,0.0008259266032837331,7.852991984691471e-06,4.954686573910294e-06,1.5705983969382942e-05,8.336786777363159e-06
32,8.303854321676587,2.3558975954074413e-05,0.0006316321374431531,2.5614369292270567e-07,8.927777628287004e-09,0.0009457464329898357,6.282393587753177e-05,4.627602538676001e-05,9.423590381629765e-05,5.911613334319554e-05
33,8.303192623077877,7.852991984691471e-06,0.0002521432173474534,2.3942952509514726e-08,7.457024442381055e-10,0.0009519497980363667,4.7117951908148825e-05,2.8513661163742654e-05,6.282393587753177e-05,3.4589567803777754e-05
34,8.303602430555555,7.852991984691471e-06,0.00012632642748863063,6.861837675842253e-08,4.265612307818856e-09,0.0008294051513075829,3.9264959923457354e-05,2.458716517139692e-05,5.4970943892840296e-05,3.066307181143202e-05
35,8.301868257068453,7.852991984691471e-06,0.00012632642748863063,1.295988028005013e-07,8.0564168669639e-09,0.0008357796468771994,3.1411967938765883e-05,2.0660669179051183e-05,7.067692786222324e-05,3.688287324621342e-05
36,8.301568894159226,0.0,0.0,0.0,0.0,0.0008821240626275539,3.9264959923457354e-05,2.2717051251675002e-05,4.7117951908148825e-05,2.6099151000380516e-05
37,8.301244342137897,7.852991984691471e-06,0.00025265285497726126,4.1934083583328174e-07,1.30340120918504e-08,0.0009675536421127617,3.1411967938765883e-05,2.0660669179051183e-05,4.7117951908148825e-05,2.673657400009688e-05
38,8.299074203249008,7.852991984691471e-06,8.421762083563436e-05,2.4410903733951272e-06,2.2762294804579142e-07,0.0008895554346963763,4.7117951908148825e-05,3.057004141737707e-05,0.00010994188778568059,5.693854473065585e-05
39,8.300425695994544,1.5705983969382942e-05,0.0005053057099545225,3.1504549724559183e-07,9.7922896458158e-09,0.0009218656923621893,3.1411967938765883e-05,2.458716517139692e-05,8.638291183160618e-05,4.757357237394899e-05
40,8.298700241815476,1.5705983969382942e-05,0.00033687048334253745,2.340419200663746e-07,1.9227327285875617e-08,0.0009358010138384998,1.5705983969382942e-05,1.5705983969382942e-05,3.1411967938765883e-05,2.1781886971439235e-05
41,8.297639392671131,1.5705983969382942e-05,0.0005053057099545225,6.97941402449942e-07,2.169351276393172e-08,0.0008825568947941065,3.1411967938765883e-05,2.5615356207708828e-05,5.4970943892840296e-05,3.507336077746004e-05
42,8.297408815414187,7.852991984691471e-06,0.00025265285497726126,2.0914970377816644e-07,6.5008207705830046e-09,0.0008467910811305046,2.3558975954074413e-05,1.6734173186705448e-05,6.282393587753177e-05,3.2956377253867686e-05
43,8.298342750186013,7.852991984691471e-06,0.00012632642748863063,1.2838050622576702e-07,7.98068278129449e-09,0.0008591782534494996,4.7117951908148825e-05,3.057004141737707e-05,7.067692786222324e-05,4.0372193325310946e-05
44,8.298062763516866,2.3558975954074413e-05,0.00046319691083116806,1.4453270296144183e-06,9.296996239527289e-08,0.0009021414443850517,3.1411967938765883e-05,2.8513661163742654e-05,7.067692786222324e-05,4.473586523090489e-05
45,8.295815119667658,7.852991984691471e-06,0.00012632642748863063,1.0529397087566394e-07,6.545524122714141e-09,0.0008769739069975913,1.5705983969382942e-05,1.2807678103854414e-05,4.7117951908148825e-05,2.59919270320097e-05
46,8.297041635664682,7.852991984691471e-06,0.00025265285497726126,9.117749755205296e-08,2.8339919300179872e-09,0.0008616528357379138,2.3558975954074413e-05,1.5705983969382942e-05,3.9264959923457354e-05,2.247018346679397e-05
47,8.2964845687624,7.852991984691471e-06,0.00025258903763576663,3.1319160598286544e-07,9.737125772346644e-09,0.0008451062021777034,4.7117951908148825e-05,2.9541852200054564e-05,8.638291183160618e-05,4.57640562672168e-05
48,8.296602763826884,0.0,0.0,0.0,0.0,0.0008144988096319139,3.9264959923457354e-05,2.0660669179051183e-05,6.282393587753177e-05,3.0118673748802394e-05
49,8.295638795882937,1.5705983969382942e-05,0.000336615342860329,9.789430350792827e-07,5.880085751641673e-08,0.000827766431029886,3.1411967938765883e-05,2.5615356207708828e-05,6.282393587753177e-05,3.914375338354148e-05
50,8.295591324094742,3.9264959923457354e-05,0.0012623074981065387,4.811213784705615e-06,1.4965617367579398e-07,0.0008637148421257734,6.282393587753177e-05,5.207263893680647e-05,9.423590381629765e-05,6.491273961728439e-05
