Category,precision,recall,f1-score,support
Community,54.85 ± 2.89,72.98 ± 2.35,62.55 ± 1.48,314460.00 ± 54.77
Entertainment,68.86 ± 1.08,71.39 ± 1.03,70.09 ± 0.63,277160.00 ± 54.77
Food,75.64 ± 1.17,64.24 ± 1.78,69.46 ± 1.00,785920.00 ± 44.72
Nightlife,44.26 ± 3.85,69.48 ± 1.61,53.96 ± 2.61,140960.00 ± 54.77
Outdoors,67.89 ± 1.32,72.71 ± 1.62,70.20 ± 0.80,221620.00 ± 44.72
Shopping,77.89 ± 1.65,69.98 ± 2.03,73.69 ± 0.80,670180.00 ± 44.72
Travel,84.65 ± 0.62,81.64 ± 0.58,83.12 ± 0.43,773200.00 ± 0.00
macro avg,67.72 ± 0.53,71.77 ± 0.65,69.01 ± 0.61,3183500.00 ± 70.71
